"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"0500000US06081","San Mateo County, California","57375","null","637","null",
"0500000US06083","Santa Barbara County, California","34229","null","431","null",
"0500000US06085","Santa Clara County, California","52451","null","361","null",
"0500000US06087","Santa Cruz County, California","39001","null","781","null",
"0500000US06089","Shasta County, California","27983","null","586","null",
"0500000US06091","Sierra County, California","31972","null","3760","null",
"0500000US06093","Siskiyou County, California","28130","null","2088","null",
"0500000US06095","Solano County, California","33700","null","507","null",
"0500000US06097","Sonoma County, California","39929","null","690","null",
"0500000US06099","Stanislaus County, California","25101","null","388","null",
"0500000US06101","Sutter County, California","26070","null","889","null",
"0500000US06103","Tehama County, California","23126","null","983","null",
"0500000US06105","Trinity County, California","25964","null","2063","null",
"0500000US06107","Tulare County, California","20421","null","392","null",
"0500000US06109","Tuolumne County, California","33685","null","2176","null",
"0500000US06111","Ventura County, California","36891","null","398","null",
"0500000US06113","Yolo County, California","32598","null","786","null",
"0500000US06115","Yuba County, California","23867","null","783","null",
"0500000US08001","Adams County, Colorado","28897","null","378","null",
"0500000US08003","Alamosa County, Colorado","21328","null","1792","null",
"0500000US08005","Arapahoe County, Colorado","38972","null","442","null",
"0500000US08007","Archuleta County, Colorado","31035","null","2612","null",
"0500000US08009","Baca County, Colorado","23862","null","1836","null",
"0500000US08011","Bent County, Colorado","14777","null","1766","null",
"0500000US08013","Boulder County, Colorado","43831","null","833","null",
"0500000US08014","Broomfield County, Colorado","47016","null","1883","null",
"0500000US08015","Chaffee County, Colorado","29365","null","1882","null",
"0500000US08017","Cheyenne County, Colorado","25234","null","3091","null",
"0500000US08019","Clear Creek County, Colorado","40655","null","3738","null",
"0500000US08021","Conejos County, Colorado","19545","null","1374","null",
"0500000US08023","Costilla County, Colorado","20715","null","2144","null",
"0500000US08025","Crowley County, Colorado","14988","null","2363","null",
"0500000US08027","Custer County, Colorado","26976","null","3438","null",
"0500000US08029","Delta County, Colorado","24886","null","1562","null",
"0500000US08031","Denver County, Colorado","41196","null","566","null",
"0500000US08033","Dolores County, Colorado","24505","null","3280","null",
"0500000US08035","Douglas County, Colorado","51017","null","766","null",
"0500000US08037","Eagle County, Colorado","41064","null","2404","null",
"0500000US08039","Elbert County, Colorado","43349","null","1943","null",
"0500000US08041","El Paso County, Colorado","32348","null","381","null",
"0500000US08043","Fremont County, Colorado","21965","null","1247","null",
"0500000US08045","Garfield County, Colorado","32491","null","1070","null",
"0500000US08047","Gilpin County, Colorado","48460","null","8235","null",
"0500000US08049","Grand County, Colorado","34717","null","2649","null",
"0500000US08051","Gunnison County, Colorado","30127","null","1499","null",
"0500000US08053","Hinsdale County, Colorado","34644","null","5585","null",
"0500000US08055","Huerfano County, Colorado","25636","null","2204","null",
"0500000US08057","Jackson County, Colorado","25467","null","3266","null",
"0500000US08059","Jefferson County, Colorado","41930","null","476","null",
"0500000US08061","Kiowa County, Colorado","24012","null","3039","null",
"0500000US08063","Kit Carson County, Colorado","27471","null","6090","null",
"0500000US08065","Lake County, Colorado","28062","null","3714","null",
"0500000US08067","La Plata County, Colorado","37864","null","2105","null",
"0500000US08069","Larimer County, Colorado","35390","null","655","null",
"0500000US08071","Las Animas County, Colorado","25118","null","1677","null",
"0500000US08073","Lincoln County, Colorado","16219","null","6702","null",
"0500000US08075","Logan County, Colorado","25776","null","1558","null",
"0500000US08077","Mesa County, Colorado","28518","null","715","null",
"0500000US08079","Mineral County, Colorado","35229","null","3802","null",
"0500000US08081","Moffat County, Colorado","27845","null","1835","null",
"0500000US08083","Montezuma County, Colorado","25161","null","1044","null",
"0500000US08085","Montrose County, Colorado","25803","null","1123","null",
"0500000US08087","Morgan County, Colorado","24189","null","1328","null",
"0500000US08089","Otero County, Colorado","20109","null","1188","null",
"0500000US08091","Ouray County, Colorado","36138","null","2974","null",
"0500000US08093","Park County, Colorado","35939","null","3339","null",
"0500000US08095","Phillips County, Colorado","29236","null","4056","null",
"0500000US08097","Pitkin County, Colorado","56180","null","7246","null",
"0500000US08099","Prowers County, Colorado","21612","null","1207","null",
"0500000US08101","Pueblo County, Colorado","24257","null","485","null",
"0500000US08103","Rio Blanco County, Colorado","27057","null","2298","null",
"0500000US08105","Rio Grande County, Colorado","22413","null","1387","null",
"0500000US08107","Routt County, Colorado","40727","null","2680","null",
"0500000US08109","Saguache County, Colorado","22901","null","3181","null",
"0500000US08111","San Juan County, Colorado","33984","null","5717","null",
"0500000US08113","San Miguel County, Colorado","45396","null","5179","null",
"0500000US08115","Sedgwick County, Colorado","25048","null","2450","null",
"0500000US08117","Summit County, Colorado","38310","null","2376","null",
"0500000US08119","Teller County, Colorado","34392","null","2100","null",
"0500000US08121","Washington County, Colorado","26680","null","1631","null",
"0500000US08123","Weld County, Colorado","30626","null","465","null",
"0500000US08125","Yuma County, Colorado","25846","null","1888","null",
"0500000US09001","Fairfield County, Connecticut","55613","null","700","null",
"0500000US09003","Hartford County, Connecticut","39260","null","410","null",
"0500000US09005","Litchfield County, Connecticut","42443","null","806","null",
"0500000US09007","Middlesex County, Connecticut","45293","null","1010","null",
"0500000US09009","New Haven County, Connecticut","36678","null","426","null",
"0500000US09011","New London County, Connecticut","38109","null","661","null",
"0500000US09013","Tolland County, Connecticut","39668","null","957","null",
"0500000US09015","Windham County, Connecticut","31106","null","686","null",
"0500000US10001","Kent County, Delaware","28100","null","686","null",
"0500000US10003","New Castle County, Delaware","35847","null","563","null",
"0500000US10005","Sussex County, Delaware","33983","null","662","null",
"0500000US11001","District of Columbia, District of Columbia","53321","null","647","null",
"0500000US12001","Alachua County, Florida","27896","null","647","null",
"0500000US12003","Baker County, Florida","24070","null","1914","null",
"0500000US12005","Bay County, Florida","28017","null","756","null",
"0500000US12007","Bradford County, Florida","20481","null","1680","null",
"0500000US12009","Brevard County, Florida","30987","null","436","null",
"0500000US12011","Broward County, Florida","31464","null","269","null",
"0500000US12013","Calhoun County, Florida","18921","null","2097","null",
"0500000US12015","Charlotte County, Florida","30528","null","866","null",
"0500000US12017","Citrus County, Florida","25983","null","822","null",
"0500000US12019","Clay County, Florida","29138","null","813","null",
"0500000US12021","Collier County, Florida","43256","null","1077","null",
"0500000US12023","Columbia County, Florida","23901","null","1193","null",
"0500000US12027","DeSoto County, Florida","18311","null","1156","null",
"0500000US12029","Dixie County, Florida","20527","null","2424","null",
"0500000US12031","Duval County, Florida","30012","null","406","null",
"0500000US12033","Escambia County, Florida","26730","null","514","null",
"0500000US12035","Flagler County, Florida","27689","null","876","null",
"0500000US12037","Franklin County, Florida","25037","null","3098","null",
"0500000US12039","Gadsden County, Florida","20158","null","985","null",
"0500000US12041","Gilchrist County, Florida","21379","null","1155","null",
"0500000US12043","Glades County, Florida","21020","null","1964","null",
"0500000US12045","Gulf County, Florida","21255","null","1527","null",
"0500000US12047","Hamilton County, Florida","15097","null","1926","null",
"0500000US12049","Hardee County, Florida","18257","null","2077","null",
"0500000US12051","Hendry County, Florida","18900","null","1468","null",
"0500000US12053","Hernando County, Florida","24551","null","545","null",
"0500000US12055","Highlands County, Florida","23722","null","1513","null",
