"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"0500000US12017","Citrus County, Florida","29948","925","null","null",
"0500000US12019","Clay County, Florida","33670","1472","null","null",
"0500000US12021","Collier County, Florida","51296","1512","null","null",
"0500000US12023","Columbia County, Florida","25912","1307","null","null",
"0500000US12027","DeSoto County, Florida","19673","1208","null","null",
"0500000US12029","Dixie County, Florida","20320","1587","null","null",
"0500000US12031","Duval County, Florida","34077","656","null","null",
"0500000US12033","Escambia County, Florida","31085","633","null","null",
"0500000US12035","Flagler County, Florida","35568","2619","null","null",
"0500000US12037","Franklin County, Florida","26933","2127","null","null",
"0500000US12039","Gadsden County, Florida","21651","1044","null","null",
"0500000US12041","Gilchrist County, Florida","24959","1949","null","null",
"0500000US12043","Glades County, Florida","21645","2229","null","null",
"0500000US12045","Gulf County, Florida","27704","3787","null","null",
"0500000US12047","Hamilton County, Florida","15624","1720","null","null",
"0500000US12049","Hardee County, Florida","22377","3098","null","null",
"0500000US12051","Hendry County, Florida","20473","1574","null","null",
"0500000US12053","Hernando County, Florida","28400","816","null","null",
"0500000US12055","Highlands County, Florida","28519","1235","null","null",
"0500000US12057","Hillsborough County, Florida","35954","459","null","null",
"0500000US12059","Holmes County, Florida","20993","1379","null","null",
"0500000US12061","Indian River County, Florida","40318","1667","null","null",
"0500000US12063","Jackson County, Florida","21660","1060","null","null",
"0500000US12065","Jefferson County, Florida","27995","2130","null","null",
"0500000US12067","Lafayette County, Florida","20437","2375","null","null",
"0500000US12069","Lake County, Florida","31968","711","null","null",
"0500000US12071","Lee County, Florida","37550","581","null","null",
"0500000US12073","Leon County, Florida","33764","818","null","null",
"0500000US12075","Levy County, Florida","24553","2018","null","null",
"0500000US12077","Liberty County, Florida","20432","2660","null","null",
"0500000US12079","Madison County, Florida","20455","1752","null","null",
"0500000US12081","Manatee County, Florida","38008","1178","null","null",
"0500000US12083","Marion County, Florida","28969","861","null","null",
"0500000US12085","Martin County, Florida","46973","1789","null","null",
"0500000US12086","Miami-Dade County, Florida","31813","358","null","null",
"0500000US12087","Monroe County, Florida","50050","1766","null","null",
"0500000US12089","Nassau County, Florida","40201","1586","null","null",
