RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
3173,276,Norfolk City,county,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",51,710,192904,192728,192641,193061,193899,194758,195589,196396,197248,197231,197295,197467,198183,198804,199287,200004,200639,201321,202074,201933,202018,202039,203471,204559,205885,207121,208333,208835,208908,209052,209965,210680,211577,211961,212071,212189,213007,213520,214261,214820,216600,218385,219877,221289,222887,224822,226789,228792,230840,233295,235854,239079,241676,244307,247053,250235,252844,255228,257666,260488,263310,266059,269300,272048,274929,277607,280073,282219,283518,284808
126,277,Clay County,county,MO,MO,"Kansas City, MO-KS",29,47,174831,176399,177500,178273,178697,179356,180534,181989,183606,184590,185132,185697,187300,188816,189805,190429,191324,192774,193886,195055,196348,197653,198471,198964,199539,200660,201604,202374,202907,203311,203416,203743,204151,204934,205832,206829,207749,208818,209994,210707,210852,211300,212983,215284,218172,220809,223098,224995,226880,229877,233794,238312,242767,246331,249791,252944,255876,258781,261286,264078,266206,270410,274038,278455,280305,283607,284588,285248,284666,286073
2770,278,Lafayette Parish,county,LA,LA,"Lafayette, LA",22,55,178482,178304,178201,178163,178253,178214,178208,176825,175544,174557,175080,175533,175798,176347,176457,176469,176185,176152,176467,176461,176240,175637,175408,175629,175528,175318,174867,175111,175193,175550,175793,176518,176999,177069,176741,176402,176680,177425,178390,178544,178502,178367,179110,180265,182086,184415,185859,186290,185698,186748,188189,189754,190437,191740,193763,196179,198374,200363,202016,204273,206022,208652,210643,213568,215804,218266,220572,223344,225761,226960
3254,279,Chesapeake City,county,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",51,550,263047,264212,265357,266426,266719,266724,266826,267040,267149,267322,267838,268236,267757,267016,266886,267267,268188,268800,269892,271085,272036,272885,273616,274877,276229,277387,278343,279254,279890,280091,280444,280807,281716,282282,282062,282124,282671,284418,285951,286957,287617,288375,289371,291155,293467,296969,300524,303860,306235,308515,311069,315285,320002,324845,328896,332847,337221,341165,344429,346675,349733,353848,357903,361275,364146,367397,371525,374145,376549,375886
562,280,Hinds County,county,MS,MS,"Jackson, MS",28,49,86238,86279,86239,86979,87293,87306,86946,87369,88184,88913,89289,89340,89485,89953,90041,90292,90464,91093,91843,91980,92378,91985,91984,91812,91759,92538,93134,93997,93870,94313,94447,94921,94911,95301,94563,94139,93654,94637,94149,93129,91602,91005,90709,90849,91715,93575,95480,97546,99295,100899,102266,103884,105657,108148,111359,114300,116539,117749,119159,120647,122624,124546,126780,128095,129442,129517,129252,128675,128306,128618
2619,281,Arlington County,county,VA,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,13,646730,646759,645667,646542,648779,650761,652773,655582,658624,658325,656544,654673,653410,654346,656472,658271,659895,660982,664095,667184,669198,672318,672920,677283,683909,693338,699196,702182,702844,703301,705185,709685,715569,718544,718704,721077,726889,736086,741081,743143,743493,743906,747525,749181,752969,755294,759677,763334,766961,766291,766444,767918,775478,781877,783625,779637,776619,773213,773196,774857,780499,789104,796427,803314,806537,809805,811219,811249,807240,805746
3048,282,Washington County,county,AR,AR,"Fayetteville-Springdale-Rogers, AR",5,143,166503,167280,167726,167700,167051,166970,168067,169796,171425,172260,173611,174692,176601,178536,179922,180920,181449,182598,183562,184358,185087,185823,186897,187996,189272,189799,190795,192087,193718,194579,195003,195509,196076,196441,196166,196343,196971,197685,197759,197534,197738,198775,200243,202339,204101,205747,207403,209699,212698,216579,222844,228170,234889,239028,244729,249674,254378,258653,262201,267018,271597,274689,279034,283996,291440,296179,299346,300816,303975,307078
770,283,Union County,county,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",37,179,237758,239082,241593,244224,245667,245727,245291,245373,246841,248945,251092,252990,255188,256515,257150,257560,258952,260958,263219,265487,266840,267911,268640,270204,271525,273029,273629,274041,274399,275108,275811,276506,277314,279015,281741,283020,282972,282473,283524,285816,287052,288412,290771,293708,295648,296320,297250,300354,304340,310294,316707,323819,333634,344584,355386,363446,371992,380701,389204,397304,404222,411519,419428,430043,439268,446742,450718,452567,450823,447727
2399,284,Mahoning County,county,OH,OH,"Youngstown-Warren-Boardman, OH-PA",39,99,85848,86979,87756,88191,88587,88915,89111,88865,88887,89252,89924,90669,91083,91564,92196,92813,93390,93499,93629,93826,94197,94592,94868,95057,95346,95928,96145,96355,96382,96759,96999,97135,97275,97574,97769,98138,98807,99257,99713,100140,100860,101252,101573,,105157,107551,109117,111010,112104,113802,116348,119887,123194,125648,128161,130006,131240,132513,134248,136235,137880,139630,141445,143756,145157,146676,147155,147974,148643,149110
225,285,Lake County,county,OH,OH,"Cleveland-Elyria, OH",39,85,142804,143418,143794,144205,144836,145364,146195,146709,147036,147237,147339,147610,147970,148257,148769,148275,148466,148504,149501,150028,150794,151771,152736,153780,155083,156914,158620,159767,159934,159511,159139,158870,159036,159183,160053,161019,162149,162333,162737,162798,163752,164711,165875,167403,168732,170555,172335,174522,176129,177913,179827,182125,184337,186450,189398,191831,194351,195713,197301,198331,199791,200615,201581,203432,206522,209824,211528,212320,212116,212350
