,Unnamed: 0,fips,name,state_Ab,state,C_S,C_Sa
176,176,5131,Sebastian County,AR,Arkansas,"Sebastian County,Arkansas","Sebastian County,AR"
177,177,5133,Sevier County,AR,Arkansas,"Sevier County,Arkansas","Sevier County,AR"
178,178,5135,Sharp County,AR,Arkansas,"Sharp County,Arkansas","Sharp County,AR"
179,179,5137,Stone County,AR,Arkansas,"Stone County,Arkansas","Stone County,AR"
180,180,5139,Union County,AR,Arkansas,"Union County,Arkansas","Union County,AR"
181,181,5141,Van Buren County,AR,Arkansas,"Van Buren County,Arkansas","Van Buren County,AR"
182,182,5143,Washington County,AR,Arkansas,"Washington County,Arkansas","Washington County,AR"
183,183,5145,White County,AR,Arkansas,"White County,Arkansas","White County,AR"
184,184,5147,Woodruff County,AR,Arkansas,"Woodruff County,Arkansas","Woodruff County,AR"
185,185,5149,Yell County,AR,Arkansas,"Yell County,Arkansas","Yell County,AR"
186,186,6001,Alameda County,CA,California,"Alameda County,California","Alameda County,CA"
187,187,6003,Alpine County,CA,California,"Alpine County,California","Alpine County,CA"
188,188,6005,Amador County,CA,California,"Amador County,California","Amador County,CA"
189,189,6007,Butte County,CA,California,"Butte County,California","Butte County,CA"
190,190,6009,Calaveras County,CA,California,"Calaveras County,California","Calaveras County,CA"
191,191,6011,Colusa County,CA,California,"Colusa County,California","Colusa County,CA"
192,192,6013,Contra Costa County,CA,California,"Contra Costa County,California","Contra Costa County,CA"
193,193,6015,Del Norte County,CA,California,"Del Norte County,California","Del Norte County,CA"
194,194,6017,El Dorado County,CA,California,"El Dorado County,California","El Dorado County,CA"
195,195,6019,Fresno County,CA,California,"Fresno County,California","Fresno County,CA"
196,196,6021,Glenn County,CA,California,"Glenn County,California","Glenn County,CA"
197,197,6023,Humboldt County,CA,California,"Humboldt County,California","Humboldt County,CA"
198,198,6025,Imperial County,CA,California,"Imperial County,California","Imperial County,CA"
199,199,6027,Inyo County,CA,California,"Inyo County,California","Inyo County,CA"
200,200,6029,Kern County,CA,California,"Kern County,California","Kern County,CA"
201,201,6031,Kings County,CA,California,"Kings County,California","Kings County,CA"
202,202,6033,Lake County,CA,California,"Lake County,California","Lake County,CA"
203,203,6035,Lassen County,CA,California,"Lassen County,California","Lassen County,CA"
204,204,6037,Los Angeles County,CA,California,"Los Angeles County,California","Los Angeles County,CA"
205,205,6039,Madera County,CA,California,"Madera County,California","Madera County,CA"
206,206,6041,Marin County,CA,California,"Marin County,California","Marin County,CA"
207,207,6043,Mariposa County,CA,California,"Mariposa County,California","Mariposa County,CA"
208,208,6045,Mendocino County,CA,California,"Mendocino County,California","Mendocino County,CA"
209,209,6047,Merced County,CA,California,"Merced County,California","Merced County,CA"
210,210,6049,Modoc County,CA,California,"Modoc County,California","Modoc County,CA"
211,211,6051,Mono County,CA,California,"Mono County,California","Mono County,CA"
212,212,6053,Monterey County,CA,California,"Monterey County,California","Monterey County,CA"
213,213,6055,Napa County,CA,California,"Napa County,California","Napa County,CA"
214,214,6057,Nevada County,CA,California,"Nevada County,California","Nevada County,CA"
215,215,6059,Orange County,CA,California,"Orange County,California","Orange County,CA"
216,216,6061,Placer County,CA,California,"Placer County,California","Placer County,CA"
217,217,6063,Plumas County,CA,California,"Plumas County,California","Plumas County,CA"
218,218,6065,Riverside County,CA,California,"Riverside County,California","Riverside County,CA"
219,219,6067,Sacramento County,CA,California,"Sacramento County,California","Sacramento County,CA"
220,220,6069,San Benito County,CA,California,"San Benito County,California","San Benito County,CA"
221,221,6071,San Bernardino County,CA,California,"San Bernardino County,California","San Bernardino County,CA"
222,222,6073,San Diego County,CA,California,"San Diego County,California","San Diego County,CA"
223,223,6075,San Francisco County,CA,California,"San Francisco County,California","San Francisco County,CA"
224,224,6077,San Joaquin County,CA,California,"San Joaquin County,California","San Joaquin County,CA"
225,225,6079,San Luis Obispo County,CA,California,"San Luis Obispo County,California","San Luis Obispo County,CA"
226,226,6081,San Mateo County,CA,California,"San Mateo County,California","San Mateo County,CA"
227,227,6083,Santa Barbara County,CA,California,"Santa Barbara County,California","Santa Barbara County,CA"
228,228,6085,Santa Clara County,CA,California,"Santa Clara County,California","Santa Clara County,CA"
229,229,6087,Santa Cruz County,CA,California,"Santa Cruz County,California","Santa Cruz County,CA"
230,230,6089,Shasta County,CA,California,"Shasta County,California","Shasta County,CA"
231,231,6091,Sierra County,CA,California,"Sierra County,California","Sierra County,CA"
232,232,6093,Siskiyou County,CA,California,"Siskiyou County,California","Siskiyou County,CA"
233,233,6095,Solano County,CA,California,"Solano County,California","Solano County,CA"
234,234,6097,Sonoma County,CA,California,"Sonoma County,California","Sonoma County,CA"
235,235,6099,Stanislaus County,CA,California,"Stanislaus County,California","Stanislaus County,CA"
236,236,6101,Sutter County,CA,California,"Sutter County,California","Sutter County,CA"
237,237,6103,Tehama County,CA,California,"Tehama County,California","Tehama County,CA"
238,238,6105,Trinity County,CA,California,"Trinity County,California","Trinity County,CA"
239,239,6107,Tulare County,CA,California,"Tulare County,California","Tulare County,CA"
240,240,6109,Tuolumne County,CA,California,"Tuolumne County,California","Tuolumne County,CA"
241,241,6111,Ventura County,CA,California,"Ventura County,California","Ventura County,CA"
242,242,6113,Yolo County,CA,California,"Yolo County,California","Yolo County,CA"
243,243,6115,Yuba County,CA,California,"Yuba County,California","Yuba County,CA"
244,244,8001,Adams County,CO,Colorado,"Adams County,Colorado","Adams County,CO"
245,245,8003,Alamosa County,CO,Colorado,"Alamosa County,Colorado","Alamosa County,CO"
246,246,8005,Arapahoe County,CO,Colorado,"Arapahoe County,Colorado","Arapahoe County,CO"
247,247,8007,Archuleta County,CO,Colorado,"Archuleta County,Colorado","Archuleta County,CO"
248,248,8009,Baca County,CO,Colorado,"Baca County,Colorado","Baca County,CO"
249,249,8011,Bent County,CO,Colorado,"Bent County,Colorado","Bent County,CO"
250,250,8013,Boulder County,CO,Colorado,"Boulder County,Colorado","Boulder County,CO"
251,251,8014,Broomfield County,CO,Colorado,"Broomfield County,Colorado","Broomfield County,CO"
252,252,8015,Chaffee County,CO,Colorado,"Chaffee County,Colorado","Chaffee County,CO"
253,253,8017,Cheyenne County,CO,Colorado,"Cheyenne County,Colorado","Cheyenne County,CO"
254,254,8019,Clear Creek County,CO,Colorado,"Clear Creek County,Colorado","Clear Creek County,CO"
255,255,8021,Conejos County,CO,Colorado,"Conejos County,Colorado","Conejos County,CO"
256,256,8023,Costilla County,CO,Colorado,"Costilla County,Colorado","Costilla County,CO"
257,257,8025,Crowley County,CO,Colorado,"Crowley County,Colorado","Crowley County,CO"
258,258,8027,Custer County,CO,Colorado,"Custer County,Colorado","Custer County,CO"
259,259,8029,Delta County,CO,Colorado,"Delta County,Colorado","Delta County,CO"
260,260,8031,Denver County,CO,Colorado,"Denver County,Colorado","Denver County,CO"
261,261,8033,Dolores County,CO,Colorado,"Dolores County,Colorado","Dolores County,CO"
262,262,8035,Douglas County,CO,Colorado,"Douglas County,Colorado","Douglas County,CO"
263,263,8037,Eagle County,CO,Colorado,"Eagle County,Colorado","Eagle County,CO"
264,264,8039,Elbert County,CO,Colorado,"Elbert County,Colorado","Elbert County,CO"
265,265,8041,El Paso County,CO,Colorado,"El Paso County,Colorado","El Paso County,CO"
266,266,8043,Fremont County,CO,Colorado,"Fremont County,Colorado","Fremont County,CO"
267,267,8045,Garfield County,CO,Colorado,"Garfield County,Colorado","Garfield County,CO"
268,268,8047,Gilpin County,CO,Colorado,"Gilpin County,Colorado","Gilpin County,CO"
269,269,8049,Grand County,CO,Colorado,"Grand County,Colorado","Grand County,CO"
270,270,8051,Gunnison County,CO,Colorado,"Gunnison County,Colorado","Gunnison County,CO"
271,271,8053,Hinsdale County,CO,Colorado,"Hinsdale County,Colorado","Hinsdale County,CO"
272,272,8055,Huerfano County,CO,Colorado,"Huerfano County,Colorado","Huerfano County,CO"
273,273,8057,Jackson County,CO,Colorado,"Jackson County,Colorado","Jackson County,CO"
274,274,8059,Jefferson County,CO,Colorado,"Jefferson County,Colorado","Jefferson County,CO"
275,275,8061,Kiowa County,CO,Colorado,"Kiowa County,Colorado","Kiowa County,CO"
276,276,8063,Kit Carson County,CO,Colorado,"Kit Carson County,Colorado","Kit Carson County,CO"
277,277,8065,Lake County,CO,Colorado,"Lake County,Colorado","Lake County,CO"
278,278,8067,La Plata County,CO,Colorado,"La Plata County,Colorado","La Plata County,CO"
279,279,8069,Larimer County,CO,Colorado,"Larimer County,Colorado","Larimer County,CO"
280,280,8071,Las Animas County,CO,Colorado,"Las Animas County,Colorado","Las Animas County,CO"
281,281,8073,Lincoln County,CO,Colorado,"Lincoln County,Colorado","Lincoln County,CO"
282,282,8075,Logan County,CO,Colorado,"Logan County,Colorado","Logan County,CO"
283,283,8077,Mesa County,CO,Colorado,"Mesa County,Colorado","Mesa County,CO"
284,284,8079,Mineral County,CO,Colorado,"Mineral County,Colorado","Mineral County,CO"
285,285,8081,Moffat County,CO,Colorado,"Moffat County,Colorado","Moffat County,CO"
286,286,8083,Montezuma County,CO,Colorado,"Montezuma County,Colorado","Montezuma County,CO"
287,287,8085,Montrose County,CO,Colorado,"Montrose County,Colorado","Montrose County,CO"
288,288,8087,Morgan County,CO,Colorado,"Morgan County,Colorado","Morgan County,CO"
289,289,8089,Otero County,CO,Colorado,"Otero County,Colorado","Otero County,CO"
290,290,8091,Ouray County,CO,Colorado,"Ouray County,Colorado","Ouray County,CO"
291,291,8093,Park County,CO,Colorado,"Park County,Colorado","Park County,CO"
292,292,8095,Phillips County,CO,Colorado,"Phillips County,Colorado","Phillips County,CO"
293,293,8097,Pitkin County,CO,Colorado,"Pitkin County,Colorado","Pitkin County,CO"
294,294,8099,Prowers County,CO,Colorado,"Prowers County,Colorado","Prowers County,CO"
295,295,8101,Pueblo County,CO,Colorado,"Pueblo County,Colorado","Pueblo County,CO"
296,296,8103,Rio Blanco County,CO,Colorado,"Rio Blanco County,Colorado","Rio Blanco County,CO"
297,297,8105,Rio Grande County,CO,Colorado,"Rio Grande County,Colorado","Rio Grande County,CO"
298,298,8107,Routt County,CO,Colorado,"Routt County,Colorado","Routt County,CO"
299,299,8109,Saguache County,CO,Colorado,"Saguache County,Colorado","Saguache County,CO"
300,300,8111,San Juan County,CO,Colorado,"San Juan County,Colorado","San Juan County,CO"
301,301,8113,San Miguel County,CO,Colorado,"San Miguel County,Colorado","San Miguel County,CO"
302,302,8115,Sedgwick County,CO,Colorado,"Sedgwick County,Colorado","Sedgwick County,CO"
303,303,8117,Summit County,CO,Colorado,"Summit County,Colorado","Summit County,CO"
304,304,8119,Teller County,CO,Colorado,"Teller County,Colorado","Teller County,CO"
305,305,8121,Washington County,CO,Colorado,"Washington County,Colorado","Washington County,CO"
306,306,8123,Weld County,CO,Colorado,"Weld County,Colorado","Weld County,CO"
