,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
1073,2017,"Fairbanks North Star Borough,Alaska",75953,5382,7704,3499,512,6861,91729,8182
1074,2018,"Fairbanks North Star Borough,Alaska",74690,5448,7696,3403,529,6983,90533,8216
1075,2019,"Fairbanks North Star Borough,Alaska",73257,5280,7771,3321,570,6889,89054,8034
1087,2017,"Haines Borough,Alaska",2020,15,266,27,0,198,2436,90
1088,2018,"Haines Borough,Alaska",2002,16,258,28,0,198,2420,82
1089,2019,"Haines Borough,Alaska",2051,15,272,24,0,199,2474,87
1101,2017,"Hoonah-Angoon Census Area,Alaska",1025,40,830,25,1,214,2011,124
1102,2018,"Hoonah-Angoon Census Area,Alaska",1033,45,824,20,1,216,2014,125
1103,2019,"Hoonah-Angoon Census Area,Alaska",1034,48,827,19,4,212,2017,127
1115,2017,"Juneau City and Borough,Alaska",22134,443,3854,2210,371,3094,29925,2181
1116,2018,"Juneau City and Borough,Alaska",22038,457,3834,2204,390,3121,29803,2241
1117,2019,"Juneau City and Borough,Alaska",21927,468,3842,2246,404,3151,29777,2261
1129,2017,"Kenai Peninsula Borough,Alaska",48865,445,4644,1026,154,3460,56156,2438
1130,2018,"Kenai Peninsula Borough,Alaska",48730,444,4727,1039,182,3487,56110,2499
1131,2019,"Kenai Peninsula Borough,Alaska",48963,477,4744,1068,175,3487,56382,2532
1143,2017,"Ketchikan Gateway Borough,Alaska",9324,125,1924,1129,43,1329,13110,764
1144,2018,"Ketchikan Gateway Borough,Alaska",9359,144,1907,1117,49,1305,13074,807
1145,2019,"Ketchikan Gateway Borough,Alaska",9378,145,1890,1126,51,1315,13118,787
1157,2017,"Kodiak Island Borough,Alaska",7515,177,1708,3073,136,996,12349,1256
1158,2018,"Kodiak Island Borough,Alaska",7299,176,1731,3049,127,1007,12179,1210
1159,2019,"Kodiak Island Borough,Alaska",7116,167,1707,3074,129,1016,12039,1170
1171,2017,"Kusilvak Census Area,Alaska",296,53,7619,32,1,246,8152,95
1172,2018,"Kusilvak Census Area,Alaska",306,64,7700,37,1,241,8234,115
1173,2019,"Kusilvak Census Area,Alaska",294,69,7746,39,2,234,8257,127
1185,2017,"Lake and Peninsula Borough,Alaska",375,16,1008,37,5,165,1561,45
1186,2018,"Lake and Peninsula Borough,Alaska",380,16,986,38,5,161,1542,44
1187,2019,"Lake and Peninsula Borough,Alaska",374,18,985,38,5,163,1539,44
1199,2017,"Matanuska-Susitna Borough,Alaska",88145,1316,7207,1772,440,7546,100997,5429
1200,2018,"Matanuska-Susitna Borough,Alaska",88745,1324,7368,1809,454,7625,101683,5642
1201,2019,"Matanuska-Susitna Borough,Alaska",89297,1427,7532,1868,498,7956,102734,5844
1213,2017,"Nome Census Area,Alaska",1546,55,7635,161,14,627,9839,199
1214,2018,"Nome Census Area,Alaska",1515,68,7667,155,16,652,9884,189
1215,2019,"Nome Census Area,Alaska",1536,73,7574,162,19,676,9841,199
1227,2017,"North Slope Borough,Alaska",2802,138,5193,570,166,532,9014,387
1228,2018,"North Slope Borough,Alaska",2807,146,5255,541,172,534,9074,381
1229,2019,"North Slope Borough,Alaska",2799,151,5208,548,176,551,9044,389
1241,2017,"Northwest Arctic Borough,Alaska",897,98,6221,76,13,500,7610,195
1242,2018,"Northwest Arctic Borough,Alaska",900,90,6154,73,18,480,7529,186
1243,2019,"Northwest Arctic Borough,Alaska",874,106,6125,84,17,467,7485,188
1255,2017,"Petersburg Borough,Alaska",2451,52,359,133,27,262,3082,202
1256,2018,"Petersburg Borough,Alaska",2428,55,352,152,24,245,3071,185
1257,2019,"Petersburg Borough,Alaska",2428,56,361,168,26,255,3106,188
1269,2017,"Prince of Wales-Hyder Census Area,Alaska",3027,35,2768,63,28,520,6195,246
1270,2018,"Prince of Wales-Hyder Census Area,Alaska",2985,35,2735,63,29,525,6139,233
1271,2019,"Prince of Wales-Hyder Census Area,Alaska",2871,37,2650,75,29,549,5973,238
1283,2017,"Sitka City and Borough,Alaska",5651,82,1405,650,36,816,8073,567
1284,2018,"Sitka City and Borough,Alaska",5591,80,1376,656,35,817,7972,583
1285,2019,"Sitka City and Borough,Alaska",5586,80,1331,645,36,823,7887,614
1297,2017,"Skagway Municipality,Alaska",1012,11,59,23,3,65,1115,58
1298,2018,"Skagway Municipality,Alaska",1007,12,59,24,4,66,1109,63
1299,2019,"Skagway Municipality,Alaska",1025,16,62,27,3,60,1116,77
1311,2017,"Southeast Fairbanks Census Area,Alaska",5396,147,827,154,44,350,6483,435
1312,2018,"Southeast Fairbanks Census Area,Alaska",5349,131,866,159,60,381,6470,476
1313,2019,"Southeast Fairbanks Census Area,Alaska",5271,136,838,174,69,391,6382,497
1325,2017,"Wrangell City and Borough,Alaska",1757,12,410,71,2,264,2458,58
1326,2018,"Wrangell City and Borough,Alaska",1742,12,421,75,2,269,2452,69
1327,2019,"Wrangell City and Borough,Alaska",1720,15,425,79,1,273,2439,74
1339,2017,"Yakutat City and Borough,Alaska",217,12,241,37,8,95,581,29
1340,2018,"Yakutat City and Borough,Alaska",216,12,235,39,8,90,573,27
1341,2019,"Yakutat City and Borough,Alaska",198,12,227,41,7,91,549,27
1353,2017,"Yukon-Koyukuk Census Area,Alaska",1220,43,3795,21,6,315,5275,125
1354,2018,"Yukon-Koyukuk Census Area,Alaska",1228,51,3750,23,7,316,5243,132
1355,2019,"Yukon-Koyukuk Census Area,Alaska",1222,49,3619,28,9,327,5110,144
1367,2017,"Apache County,Arizona",16019,388,53616,340,25,1150,66984,4554
1368,2018,"Apache County,Arizona",16057,393,53841,325,28,1175,66928,4891
1369,2019,"Apache County,Arizona",16076,407,53879,316,37,1205,66906,5014
1381,2017,"Cochise County,Arizona",109852,5769,2182,2795,497,3953,80596,44452
1382,2018,"Cochise County,Arizona",110989,5927,2235,2851,513,4066,81686,44895
