,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
1661,2017,"Calhoun County,Arkansas",3946,1097,37,12,1,103,4975,221
1662,2018,"Calhoun County,Arkansas",3946,1107,34,15,1,103,4988,218
1663,2019,"Calhoun County,Arkansas",3877,1095,37,12,1,115,4923,214
1675,2017,"Carroll County,Arkansas",26069,220,355,364,292,601,23693,4208
1676,2018,"Carroll County,Arkansas",26067,214,366,451,329,622,23863,4186
1677,2019,"Carroll County,Arkansas",26093,225,386,602,399,647,24048,4304
1689,2017,"Chicot County,Arkansas",4618,5802,53,73,4,105,10074,581
1690,2018,"Chicot County,Arkansas",4521,5695,55,74,4,117,9859,607
1691,2019,"Chicot County,Arkansas",4393,5546,59,74,4,113,9586,603
1703,2017,"Clark County,Arkansas",16100,5436,142,156,80,320,21184,1050
1704,2018,"Clark County,Arkansas",16187,5468,146,142,89,326,21287,1071
1705,2019,"Clark County,Arkansas",16119,5530,127,153,95,341,21278,1087
1717,2017,"Clay County,Arkansas",14450,104,72,25,7,201,14543,316
1718,2018,"Clay County,Arkansas",14342,113,72,29,3,204,14436,327
1719,2019,"Clay County,Arkansas",14053,122,80,35,3,201,14165,329
1731,2017,"Cleburne County,Arkansas",24275,113,178,113,10,396,24480,605
1732,2018,"Cleburne County,Arkansas",24296,107,181,113,10,398,24498,607
1733,2019,"Cleburne County,Arkansas",24168,116,183,113,10,429,24406,613
1745,2017,"Cleveland County,Arkansas",7084,919,40,13,3,118,7988,189
1746,2018,"Cleveland County,Arkansas",6902,923,41,13,3,109,7801,190
1747,2019,"Cleveland County,Arkansas",6859,910,41,14,3,110,7741,196
1759,2017,"Columbia County,Arkansas",14490,8522,130,231,10,292,23041,634
1760,2018,"Columbia County,Arkansas",14429,8468,138,226,10,311,22926,656
1761,2019,"Columbia County,Arkansas",14438,8365,139,206,10,338,22847,649
1773,2017,"Conway County,Arkansas",17688,2371,175,95,8,484,19997,824
1774,2018,"Conway County,Arkansas",17687,2376,180,96,7,490,19991,845
1775,2019,"Conway County,Arkansas",17730,2396,176,94,7,502,20043,862
1787,2017,"Craighead County,Arkansas",86531,16639,565,1484,60,1995,101863,5411
1788,2018,"Craighead County,Arkansas",87218,17695,592,1439,59,2071,103464,5610
1789,2019,"Craighead County,Arkansas",87785,18705,589,1457,59,2177,104946,5826
1801,2017,"Crawford County,Arkansas",57333,967,1686,1038,37,1921,58077,4905
1802,2018,"Crawford County,Arkansas",57668,1026,1671,1028,40,2047,58431,5049
1803,2019,"Crawford County,Arkansas",57500,1098,1690,978,41,2099,58261,5145
1815,2017,"Crittenden County,Arkansas",21260,26236,182,327,27,672,47445,1259
1816,2018,"Crittenden County,Arkansas",20871,26238,201,330,28,697,47074,1291
1817,2019,"Crittenden County,Arkansas",20488,26213,212,320,23,668,46568,1356
1829,2017,"Cross County,Arkansas",12465,3915,70,117,8,217,16457,335
1830,2018,"Cross County,Arkansas",12322,3820,68,125,9,240,16249,335
1831,2019,"Cross County,Arkansas",12052,3817,71,129,9,255,15998,335
1843,2017,"Dallas County,Arkansas",4084,3033,42,22,4,127,7078,234
1844,2018,"Dallas County,Arkansas",3982,2932,48,16,4,124,6860,246
1845,2019,"Dallas County,Arkansas",3922,2828,49,17,4,131,6693,258
1857,2017,"Desha County,Arkansas",5875,5575,45,92,17,158,11033,729
1858,2018,"Desha County,Arkansas",5674,5518,48,98,17,161,10795,721
1859,2019,"Desha County,Arkansas",5581,5483,48,108,17,163,10659,741
1871,2017,"Drew County,Arkansas",12777,5150,93,126,5,221,17734,638
1872,2018,"Drew County,Arkansas",12700,5129,102,131,6,234,17607,695
1873,2019,"Drew County,Arkansas",12567,5046,97,129,8,245,17409,683
1885,2017,"Faulkner County,Arkansas",103638,14935,867,1525,88,2653,118669,5037
1886,2018,"Faulkner County,Arkansas",104663,15388,840,1572,92,2781,120140,5196
1887,2019,"Faulkner County,Arkansas",105095,15439,847,1581,88,2778,120526,5302
1899,2017,"Franklin County,Arkansas",16872,162,278,188,32,301,17275,558
1900,2018,"Franklin County,Arkansas",16813,165,263,180,32,327,17206,574
1901,2019,"Franklin County,Arkansas",16731,160,290,186,39,331,17144,593
1913,2017,"Fulton County,Arkansas",11729,75,86,38,4,215,11958,189
1914,2018,"Fulton County,Arkansas",11914,82,95,37,2,221,12165,186
1915,2019,"Fulton County,Arkansas",12031,85,101,35,2,262,12306,210
1927,2017,"Garland County,Arkansas",85778,8594,749,830,66,2459,92943,5533
1928,2018,"Garland County,Arkansas",86232,8697,743,841,74,2534,93455,5666
1929,2019,"Garland County,Arkansas",86430,8759,775,841,72,2595,93595,5877
1941,2017,"Grant County,Arkansas",17157,505,99,70,12,275,17625,493
1942,2018,"Grant County,Arkansas",17235,504,98,72,12,288,17679,530
1943,2019,"Grant County,Arkansas",17312,482,93,74,12,314,17730,557
1955,2017,"Greene County,Arkansas",43044,703,256,202,208,589,43743,1259
1956,2018,"Greene County,Arkansas",43206,823,272,208,180,650,44020,1319
1957,2019,"Greene County,Arkansas",43204,818,248,205,176,665,43986,1330
1969,2017,"Hempstead County,Arkansas",14467,6662,147,123,33,463,19139,2756
1970,2018,"Hempstead County,Arkansas",14325,6604,146,120,40,479,18906,2808
1971,2019,"Hempstead County,Arkansas",14167,6605,143,110,44,499,18736,2832
1983,2017,"Hot Spring County,Arkansas",28827,3791,197,136,25,654,32463,1167
1984,2018,"Hot Spring County,Arkansas",28819,3805,214,141,24,677,32500,1180
1985,2019,"Hot Spring County,Arkansas",28827,3881,215,149,25,687,32547,1237
1997,2017,"Howard County,Arkansas",10105,2742,196,75,15,228,11684,1677
1998,2018,"Howard County,Arkansas",9944,2806,208,80,15,244,11631,1666
1999,2019,"Howard County,Arkansas",9880,2813,188,82,17,239,11507,1712
2011,2017,"Independence County,Arkansas",35263,832,300,328,86,607,34983,2433
2012,2018,"Independence County,Arkansas",35510,888,328,318,91,664,35281,2518
2013,2019,"Independence County,Arkansas",35438,937,330,338,96,680,35226,2593
2025,2017,"Izard County,Arkansas",13027,266,113,65,2,200,13355,318
2026,2018,"Izard County,Arkansas",12903,291,106,68,2,204,13236,338
2027,2019,"Izard County,Arkansas",12956,304,105,66,2,187,13276,344
2039,2017,"Jackson County,Arkansas",13536,2962,126,82,28,299,16535,498
2040,2018,"Jackson County,Arkansas",13280,2954,119,86,33,304,16286,490
2041,2019,"Jackson County,Arkansas",13306,2918,121,84,35,318,16280,502
2053,2017,"Jefferson County,Arkansas",27935,39518,277,671,81,868,67880,1470
2054,2018,"Jefferson County,Arkansas",27323,39006,280,665,82,885,66761,1480
2055,2019,"Jefferson County,Arkansas",26721,38531,289,635,84,877,65641,1496
2067,2017,"Johnson County,Arkansas",24358,594,309,601,29,532,22750,3673
2068,2018,"Johnson County,Arkansas",24507,602,317,663,37,558,23007,3677
2069,2019,"Johnson County,Arkansas",24338,590,334,742,37,555,22833,3763
2081,2017,"Lafayette County,Arkansas",4133,2518,39,42,0,75,6629,178
2082,2018,"Lafayette County,Arkansas",4089,2424,41,42,5,83,6487,197
2083,2019,"Lafayette County,Arkansas",4066,2418,39,47,1,85,6438,218
2095,2017,"Lawrence County,Arkansas",16052,185,89,41,5,216,16335,253
2096,2018,"Lawrence County,Arkansas",15858,201,99,49,6,239,16171,281
2097,2019,"Lawrence County,Arkansas",15860,200,101,43,8,228,16155,285
2109,2017,"Lee County,Arkansas",3917,4971,58,52,2,121,8881,240
2110,2018,"Lee County,Arkansas",3849,4881,53,53,2,124,8718,244
2111,2019,"Lee County,Arkansas",3830,4830,54,50,2,123,8653,236
2123,2017,"Lincoln County,Arkansas",9088,4109,73,46,1,164,12964,517
2124,2018,"Lincoln County,Arkansas",8942,3972,72,48,1,173,12685,523
2125,2019,"Lincoln County,Arkansas",8829,3875,71,51,1,185,12454,558
2137,2017,"Little River County,Arkansas",9401,2424,195,51,9,306,11932,454
2138,2018,"Little River County,Arkansas",9331,2440,208,59,9,310,11896,461
2139,2019,"Little River County,Arkansas",9333,2457,203,60,9,306,11912,456
2151,2017,"Logan County,Arkansas",20240,335,262,489,5,409,21067,673
2152,2018,"Logan County,Arkansas",20214,334,252,495,5,405,21040,665
2153,2019,"Logan County,Arkansas",20051,315,248,476,9,396,20825,670
2165,2017,"Lonoke County,Arkansas",65553,4577,499,647,56,1511,69513,3330
2166,2018,"Lonoke County,Arkansas",66104,4658,523,640,57,1578,70187,3373
2167,2019,"Lonoke County,Arkansas",66106,4696,539,652,59,1596,70288,3360
2179,2017,"Madison County,Arkansas",15392,114,284,119,102,296,15372,935
2180,2018,"Madison County,Arkansas",15450,115,284,136,80,294,15387,972
2181,2019,"Madison County,Arkansas",15561,117,295,133,96,317,15566,953
2193,2017,"Marion County,Arkansas",15775,82,146,95,11,349,16087,371
2194,2018,"Marion County,Arkansas",15917,94,152,104,11,353,16249,382
2195,2019,"Marion County,Arkansas",15900,99,171,106,11,358,16231,414
2207,2017,"Miller County,Arkansas",31125,11223,363,222,32,854,42367,1452
2208,2018,"Miller County,Arkansas",30864,11058,374,217,31,887,41921,1510
2209,2019,"Miller County,Arkansas",30767,11067,385,229,30,892,41833,1537
2221,2017,"Mississippi County,Arkansas",25919,15184,211,217,13,549,40300,1793
2222,2018,"Mississippi County,Arkansas",25398,14860,204,201,12,564,39484,1755
2223,2019,"Mississippi County,Arkansas",25104,14617,214,198,13,571,38885,1832
2235,2017,"Monroe County,Arkansas",3934,2843,48,48,0,139,6819,193
2236,2018,"Monroe County,Arkansas",3859,2761,55,49,0,156,6678,202
2237,2019,"Monroe County,Arkansas",3744,2722,49,54,0,154,6541,182
2249,2017,"Montgomery County,Arkansas",8410,67,104,105,3,204,8525,368
2250,2018,"Montgomery County,Arkansas",8424,71,115,107,3,207,8549,378
2251,2019,"Montgomery County,Arkansas",8517,71,124,114,3,218,8650,397
2263,2017,"Nevada County,Arkansas",5484,2597,37,30,1,151,7947,353
2264,2018,"Nevada County,Arkansas",5487,2565,38,44,2,136,7917,355
2265,2019,"Nevada County,Arkansas",5443,2539,37,45,2,139,7823,382
2277,2017,"Newton County,Arkansas",7477,41,97,26,1,174,7662,154
2278,2018,"Newton County,Arkansas",7417,46,103,28,1,185,7624,156
2279,2019,"Newton County,Arkansas",7347,39,103,27,1,195,7557,155
2291,2017,"Ouachita County,Arkansas",13521,9562,112,111,10,504,23278,542
2292,2018,"Ouachita County,Arkansas",13315,9546,111,106,9,518,23026,579
2293,2019,"Ouachita County,Arkansas",13152,9441,110,115,9,545,22785,587
2305,2017,"Perry County,Arkansas",9800,198,90,27,2,215,10030,302
2306,2018,"Perry County,Arkansas",9822,208,97,27,3,209,10037,329
2307,2019,"Perry County,Arkansas",9862,205,98,31,2,219,10080,337
2319,2017,"Phillips County,Arkansas",6577,11654,69,89,1,217,18250,357
2320,2018,"Phillips County,Arkansas",6375,11283,65,87,3,225,17673,365
2321,2019,"Phillips County,Arkansas",6242,11134,74,78,3,238,17410,359
2333,2017,"Pike County,Arkansas",9969,354,119,82,4,203,10051,680
2334,2018,"Pike County,Arkansas",9878,357,125,85,4,208,9980,677
2335,2019,"Pike County,Arkansas",9904,367,132,88,4,210,10003,702
2347,2017,"Poinsett County,Arkansas",21514,1982,88,66,8,424,23368,714
2348,2018,"Poinsett County,Arkansas",21269,1976,95,69,9,459,23110,767
2349,2019,"Poinsett County,Arkansas",20905,1962,100,80,10,445,22706,796
2361,2017,"Polk County,Arkansas",18959,122,406,178,9,489,18813,1350
2362,2018,"Polk County,Arkansas",18785,122,429,178,10,495,18707,1312
2363,2019,"Polk County,Arkansas",18720,123,422,180,10,489,18639,1305
2375,2017,"Pope County,Arkansas",58795,2112,595,766,65,1324,57998,5659
2376,2018,"Pope County,Arkansas",58628,2129,614,788,68,1350,57690,5887
2377,2019,"Pope County,Arkansas",59069,2134,657,807,68,1410,58076,6069
2389,2017,"Prairie County,Arkansas",7126,975,35,11,6,110,8117,146
2390,2018,"Prairie County,Arkansas",7004,937,34,11,6,108,7954,146
2391,2019,"Prairie County,Arkansas",6999,923,35,10,6,120,7936,157
2403,2017,"Pulaski County,Arkansas",227160,146705,1808,9243,236,8433,369568,24017
2404,2018,"Pulaski County,Arkansas",224744,147543,1774,9223,217,8683,368255,23929
2405,2019,"Pulaski County,Arkansas",223641,148725,1743,9116,215,8878,367869,24449
2417,2017,"Randolph County,Arkansas",17023,174,100,48,52,327,17346,378
2418,2018,"Randolph County,Arkansas",17093,186,109,80,242,375,17692,393
2419,2019,"Randolph County,Arkansas",17023,216,118,68,331,405,17749,412
2431,2017,"St. Francis County,Arkansas",11392,13769,198,158,16,426,24611,1348
2432,2018,"St. Francis County,Arkansas",11089,13558,193,168,16,435,24116,1343
2433,2019,"St. Francis County,Arkansas",10906,13253,203,160,16,439,23612,1365
2445,2017,"Saline County,Arkansas",106208,9166,708,1581,63,1852,113947,5631
2446,2018,"Saline County,Arkansas",107029,9792,767,1605,73,1881,115166,5981
2447,2019,"Saline County,Arkansas",107678,10387,787,1651,75,1972,116194,6356
2459,2017,"Scott County,Arkansas",9439,76,272,350,5,218,9553,807
2460,2018,"Scott County,Arkansas",9356,76,277,340,5,234,9491,797
2461,2019,"Scott County,Arkansas",9297,72,267,324,5,252,9396,821
2473,2017,"Searcy County,Arkansas",7537,40,123,37,2,189,7732,196
2474,2018,"Searcy County,Arkansas",7514,44,119,29,2,190,7690,208
2475,2019,"Searcy County,Arkansas",7477,41,115,29,2,198,7629,233
2487,2017,"Sebastian County,Arkansas",104971,8857,3080,6062,266,4674,109796,18114
2488,2018,"Sebastian County,Arkansas",104402,8940,3203,6025,278,4734,109152,18430
2489,2019,"Sebastian County,Arkansas",104281,9016,3196,6087,281,4827,108960,18728
2501,2017,"Sevier County,Arkansas",15060,734,597,108,153,433,11391,5694
2502,2018,"Sevier County,Arkansas",14968,703,584,121,188,455,11314,5705
2503,2019,"Sevier County,Arkansas",14865,705,629,113,220,440,11217,5755
2515,2017,"Sharp County,Arkansas",16382,158,174,84,9,339,16765,381
2516,2018,"Sharp County,Arkansas",16457,158,174,84,10,339,16815,407
2517,2019,"Sharp County,Arkansas",16454,178,192,83,8,361,16826,450
2529,2017,"Stone County,Arkansas",12102,56,110,56,4,227,12302,253
2530,2018,"Stone County,Arkansas",12079,56,113,59,5,230,12283,259
2531,2019,"Stone County,Arkansas",12138,56,122,59,5,234,12381,233
2543,2017,"Union County,Arkansas",25308,12995,216,311,21,648,37922,1577
2544,2018,"Union County,Arkansas",25023,12921,209,310,23,644,37538,1592
2545,2019,"Union County,Arkansas",24679,12831,208,305,20,634,37101,1576
2557,2017,"Van Buren County,Arkansas",15944,100,158,61,4,290,16022,535
2558,2018,"Van Buren County,Arkansas",15943,108,168,65,4,292,16044,536
2559,2019,"Van Buren County,Arkansas",15846,113,160,70,4,336,15999,530
2571,2017,"Washington County,Arkansas",201375,8450,3660,6278,6573,6579,194079,38836
2572,2018,"Washington County,Arkansas",204312,8860,3745,6389,6728,6821,196640,40215
2573,2019,"Washington County,Arkansas",205889,9102,3830,6460,7041,7070,198450,40942
2585,2017,"White County,Arkansas",72697,3481,512,622,51,1581,75487,3457
2586,2018,"White County,Arkansas",72056,3509,527,652,54,1592,74933,3457
2587,2019,"White County,Arkansas",72121,3593,559,684,64,1600,75079,3542
2599,2017,"Woodruff County,Arkansas",4683,1733,32,19,5,108,6465,115
2600,2018,"Woodruff County,Arkansas",4599,1720,33,18,5,121,6363,133
2601,2019,"Woodruff County,Arkansas",4555,1691,34,19,5,127,6294,137
2613,2017,"Yell County,Arkansas",20293,446,243,279,16,267,17156,4388
2614,2018,"Yell County,Arkansas",20205,443,249,280,16,313,17056,4450
2615,2019,"Yell County,Arkansas",20012,490,251,298,17,308,16950,4426
2627,2017,"Alameda County,California",828949,187233,18372,519595,15649,90026,1289992,369832
2628,2018,"Alameda County,California",823289,184508,18296,533592,15766,91145,1296450,370146
2629,2019,"Alameda County,California",815521,182647,18271,544635,15726,91612,1298361,370051
2641,2017,"Alpine County,California",795,4,251,22,1,43,991,125
2642,2018,"Alpine County,California",749,1,259,24,0,48,953,128
2643,2019,"Alpine County,California",748,4,291,19,0,51,973,140
2655,2017,"Amador County,California",34626,957,886,658,102,1320,33107,5442
2656,2018,"Amador County,California",35283,1059,923,649,105,1330,33638,5711
2657,2019,"Amador County,California",35542,1072,925,660,118,1376,33888,5805
2669,2017,"Butte County,California",197001,4052,5821,11073,637,10116,191325,37375
2670,2018,"Butte County,California",197960,4126,5874,11299,670,10401,191909,38421
2671,2019,"Butte County,California",186947,4202,5736,11088,638,10115,180789,37937
2683,2017,"Calaveras County,California",41777,425,851,756,118,1731,40184,5474
2684,2018,"Calaveras County,California",41734,450,894,797,117,1755,40090,5657
2685,2019,"Calaveras County,California",41960,495,919,832,127,1786,40134,5985
2697,2017,"Colusa County,California",19667,285,586,343,126,551,8738,12820
2698,2018,"Colusa County,California",19502,271,604,332,127,553,8549,12840
2699,2019,"Colusa County,California",19530,285,605,336,134,584,8552,12922
2711,2017,"Contra Costa County,California",753620,108505,11865,202579,6873,62181,853455,292168
2712,2018,"Contra Costa County,California",751249,109193,12086,207880,6955,63477,854639,296201
2713,2019,"Contra Costa County,California",746482,109467,12201,212928,7088,64717,853071,299812
2725,2017,"Del Norte County,California",21412,836,2719,936,49,1431,22056,5327
2726,2018,"Del Norte County,California",21671,979,2724,894,54,1471,22153,5640
2727,2019,"Del Norte County,California",21728,977,2760,891,55,1492,22232,5671
2739,2017,"El Dorado County,California",168257,1918,2536,8525,415,7142,164553,24240
2740,2018,"El Dorado County,California",169664,1986,2536,8976,421,7342,166093,24832
2741,2019,"El Dorado County,California",170906,2016,2565,9486,428,7656,167607,25450
2753,2017,"Fresno County,California",753277,57777,30116,109907,2829,30820,463149,521577
2754,2018,"Fresno County,California",756280,58186,30476,111811,2896,31649,462539,528759
2755,2019,"Fresno County,California",759091,58696,30904,114001,2959,32196,462086,535761
2767,2017,"Glenn County,California",24919,353,901,819,52,832,16285,11591
2768,2018,"Glenn County,California",24906,369,905,812,53,854,16084,11815
2769,2019,"Glenn County,California",25346,372,939,861,64,863,16369,12076
2781,2017,"Humboldt County,California",114058,1912,8732,3918,445,7645,120732,15978
2782,2018,"Humboldt County,California",113591,1950,8708,3952,463,7838,120265,16237
2783,2019,"Humboldt County,California",112869,1994,8669,4002,455,7850,119283,16556
2795,2017,"Imperial County,California",163295,6231,4463,3931,354,2976,28624,152626
2796,2018,"Imperial County,California",163237,6124,4439,3875,371,3016,27851,153211
2797,2019,"Imperial County,California",162718,6061,4479,3841,368,2972,26953,153486
2809,2017,"Inyo County,California",14299,191,2382,297,27,623,13827,3992
2810,2018,"Inyo County,California",14298,196,2443,294,30,633,13725,4169
2811,2019,"Inyo County,California",14313,211,2461,312,30,666,13745,4248
2823,2017,"Kern County,California",729764,55833,23906,47305,2392,28116,415288,472028
2824,2018,"Kern County,California",733543,56323,24251,48337,2431,28733,412864,480754
2825,2019,"Kern County,California",736507,56825,24502,49301,2424,29339,409201,489697
2837,2017,"Kings County,California",121660,10663,4616,6587,479,5537,67877,81665
2838,2018,"Kings County,California",122671,11000,4738,6677,503,5632,68083,83138
2839,2019,"Kings County,California",123422,11455,4877,6677,516,5780,68393,84334
2851,2017,"Lake County,California",55980,1310,2785,876,205,2976,51017,13115
