,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
288,1115-2020,79587,9022,377,854,74,1419,89031,2302
289,1115-2021,80389,9607,363,834,84,1471,90328,2420
292,1117-2019,179985,29011,874,5061,124,3121,205676,12500
293,1117-2020,183551,30654,892,5232,117,3262,210536,13172
294,1117-2021,184994,31975,924,5420,123,3466,213349,13553
297,1119-2019,3188,8830,21,205,4,110,12206,152
298,1119-2020,3205,8737,23,205,4,121,12132,163
299,1119-2021,3182,8625,20,209,4,124,11988,176
302,1121-2019,51350,26599,334,493,20,1430,78252,1974
303,1121-2020,52530,27233,318,469,17,1502,80016,2053
304,1121-2021,52124,27047,329,471,19,1534,79416,2108
307,1123-2019,28411,10929,172,243,24,558,39341,996
308,1123-2020,29037,11159,179,242,22,590,40195,1034
309,1123-2021,28961,11038,173,234,20,597,39953,1070
312,1125-2019,134753,68458,733,3495,137,2745,202059,8262
313,1125-2020,144897,74463,772,3839,144,3038,217945,9208
314,1125-2021,144457,74686,775,3803,156,3130,217519,9488
317,1127-2019,57969,3905,349,341,70,1046,61973,1707
318,1127-2020,59205,4035,340,340,67,1113,63267,1833
319,1127-2021,58895,4000,353,336,69,1165,62905,1913
322,1129-2019,10815,3812,1265,124,20,243,16026,253
323,1129-2020,10124,3545,1231,123,21,252,15043,253
324,1129-2021,10059,3482,1198,125,21,262,14884,263
327,1131-2019,2846,7385,24,25,2,114,10239,157
328,1131-2020,2912,7430,24,24,2,126,10356,162
329,1131-2021,2930,7320,24,28,2,142,10285,161
332,1133-2019,22730,238,199,84,49,400,22941,759
333,1133-2020,22550,235,195,84,45,382,22714,777
334,1133-2021,22686,259,198,90,49,370,22869,783
337,2013-2019,710,337,675,1461,37,135,2844,511
338,2013-2020,737,345,663,1494,36,143,2898,520
339,2013-2021,747,367,674,1424,36,150,2850,548
342,2016-2019,1891,396,686,2296,171,262,4918,784
343,2016-2020,1697,372,630,2076,168,263,4473,733
344,2016-2021,1654,373,603,1979,170,280,4314,745
347,2020-2019,183201,17193,25633,28811,9058,24894,261264,27526
348,2020-2020,183806,16993,26442,28994,9137,25265,262904,27733
349,2020-2021,181000,16766,26655,28974,9277,25449,260288,27833
352,2050-2019,1862,148,15529,196,38,720,18132,361
353,2050-2020,1840,193,15660,203,44,708,18241,407
354,2050-2021,1720,197,15695,189,42,714,18166,391
357,2060-2019,350,6,295,13,2,174,774,66
358,2060-2020,358,6,272,22,2,171,762,69
359,2060-2021,349,7,281,21,2,178,756,82
362,2068-2019,1750,54,110,117,1,93,2043,82
