,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
6727,27069-2019,4158,30,19,29,0,50,4181,105
6728,27069-2020,4046,38,19,28,0,49,4077,103
6729,27069-2021,4002,39,20,31,0,54,4041,105
6732,27071-2019,11495,82,303,76,3,243,12043,159
6733,27071-2020,11299,92,307,76,3,254,11862,169
6734,27071-2021,11172,95,317,83,3,271,11769,172
6737,27073-2019,6391,53,23,55,13,93,6463,165
6738,27073-2020,6468,48,25,56,14,90,6514,187
6739,27073-2021,6431,55,29,54,20,95,6500,184
6742,27075-2019,10285,49,74,58,3,156,10469,156
6743,27075-2020,10505,58,82,62,3,175,10722,163
6744,27075-2021,10583,56,90,64,2,191,10809,177
6747,27077-2019,3510,28,36,62,0,100,3670,66
6748,27077-2020,3529,27,45,61,0,98,3691,69
6749,27077-2021,3570,28,57,65,0,103,3754,69
6752,27079-2019,27899,242,145,194,8,368,26960,1896
6753,27079-2020,27614,258,158,192,11,394,26701,1926
6754,27079-2021,27787,260,163,205,16,410,26920,1921
6757,27081-2019,5480,15,28,32,3,61,5497,122
6758,27081-2020,5476,18,33,38,3,60,5510,118
6759,27081-2021,5392,20,29,44,5,77,5424,143
6762,27083-2019,22778,905,205,1292,17,382,23723,1856
6763,27083-2020,22397,873,210,1309,16,369,23278,1896
6764,27083-2021,22408,858,223,1327,20,395,23282,1949
6767,27085-2019,34602,300,185,293,31,415,33439,2387
6768,27085-2020,35362,353,206,296,33,451,34111,2590
6769,27085-2021,35350,391,208,303,37,446,34076,2659
6772,27087-2019,2599,34,2387,6,3,511,5282,258
6773,27087-2020,2439,41,2375,6,3,510,5121,253
6774,27087-2021,2481,39,2375,4,3,512,5139,275
6777,27089-2019,9071,43,85,36,7,103,8917,428
6778,27089-2020,8749,46,89,35,8,108,8612,423
6779,27089-2021,8684,50,91,36,8,119,8562,426
6782,27091-2019,18977,168,117,136,23,220,18642,999
6783,27091-2020,19285,158,120,144,31,232,18855,1115
6784,27091-2021,19179,176,129,152,47,232,18786,1129
6787,27093-2019,22567,161,89,93,18,238,22175,991
6788,27093-2020,22802,169,91,97,18,251,22436,992
6789,27093-2021,22715,170,94,109,18,270,22376,1000
6792,27095-2019,23671,165,1629,179,11,511,25482,684
6793,27095-2020,23804,170,1686,191,11,548,25695,715
6794,27095-2021,24212,184,1687,197,11,576,26119,748
6797,27097-2019,32348,312,120,134,12,403,32724,605
6798,27097-2020,32997,291,125,123,14,430,33354,626
6799,27097-2021,33004,264,127,129,17,451,33368,624
6802,27099-2019,35146,1590,272,2121,181,730,35123,4917
6803,27099-2020,34907,1649,262,2248,211,772,35072,4977
6804,27099-2021,34815,1688,276,2326,265,788,35036,5122
6807,27101-2019,7857,42,40,137,20,101,7842,355
6808,27101-2020,7815,44,39,145,19,106,7786,382
6809,27101-2021,7753,45,41,159,22,124,7737,407
6812,27103-2019,31608,1337,181,582,6,597,32641,1670
6813,27103-2020,31650,1460,198,560,7,615,32751,1739
6814,27103-2021,31337,1559,220,553,6,657,32575,1757
6817,27105-2019,18239,1085,288,1633,70,330,15299,6346
6818,27105-2020,18703,1107,299,1658,70,346,15497,6686
6819,27105-2021,18542,1139,299,1567,81,363,15220,6771
6822,27107-2019,5972,59,141,40,4,172,6040,348
6823,27107-2020,5980,52,164,42,2,182,6063,359
6824,27107-2021,5958,52,159,46,2,199,6052,364
6827,27109-2019,131862,11004,697,10467,126,4032,149951,8237
6828,27109-2020,135230,11825,719,10785,136,4296,154146,8845
6829,27109-2021,134909,12229,762,10958,141,4437,154393,9043
6832,27111-2019,55929,945,467,375,48,920,56536,2148
6833,27111-2020,57186,1006,494,361,49,928,57749,2275
6834,27111-2021,57212,964,522,362,53,933,57735,2311
6837,27113-2019,13162,165,287,130,3,322,13481,588
6838,27113-2020,13039,160,268,146,2,324,13332,607
6839,27113-2021,12884,155,268,160,2,311,13190,590
6842,27115-2019,26918,651,998,240,8,615,28543,887
6843,27115-2020,26324,650,972,250,9,649,27971,883
6844,27115-2021,26688,676,977,267,9,685,28372,930
6847,27117-2019,8459,167,201,105,0,220,8456,696
6848,27117-2020,8746,152,184,95,0,228,8679,726
6849,27117-2021,8623,179,200,97,0,214,8586,727
6852,27119-2019,28714,995,573,314,9,725,29233,2097
6853,27119-2020,28453,960,585,306,18,729,28927,2124
6854,27119-2021,28116,954,591,321,22,753,28573,2184
6857,27121-2019,10883,50,59,77,2,145,10997,219
6858,27121-2020,10978,47,58,75,2,149,11098,211
6859,27121-2021,11059,52,60,76,2,154,11179,224
6862,27123-2019,366374,71285,5466,85571,492,20444,508128,41504
6863,27123-2020,365371,73014,5597,86195,503,20800,509254,42226
6864,27123-2021,358943,72741,5397,85181,470,20525,501225,42032
6867,27125-2019,3824,27,88,15,4,74,3874,158
6868,27125-2020,3706,35,90,15,3,87,3787,149
6869,27125-2021,3690,35,91,15,3,99,3788,145
6872,27127-2019,13482,167,737,410,9,353,14583,575
6873,27127-2020,13693,175,777,417,9,320,14802,589
6874,27127-2021,13605,166,814,435,9,337,14739,627
6877,27129-2019,13901,86,232,121,5,206,13263,1288
6878,27129-2020,14028,95,230,122,5,204,13305,1379
6879,27129-2021,13926,114,230,124,5,209,13141,1467
6882,27131-2019,59552,4218,464,1470,84,1228,61330,5686
6883,27131-2020,59398,4380,479,1460,78,1235,61245,5785
6884,27131-2021,59434,4435,499,1495,78,1321,61214,6048
6887,27133-2019,8947,81,75,74,1,156,9027,307
6888,27133-2020,9300,91,78,77,0,159,9376,329
6889,27133-2021,9241,90,90,80,0,179,9359,321
6892,27135-2019,14047,95,293,439,5,297,14946,230
6893,27135-2020,14150,96,303,427,4,314,15045,249
6894,27135-2021,14104,90,316,415,5,328,14988,270
6897,27137-2019,183688,3322,4723,2250,101,5128,195483,3729
6898,27137-2020,184301,3282,4778,2238,107,5256,196162,3800
6899,27137-2021,183384,3222,4840,2269,114,5353,195335,3847
6902,27139-2019,125757,8087,1591,9641,150,3778,141048,7956
6903,27139-2020,126539,8887,1656,10041,151,3991,142850,8415
6904,27139-2021,127246,9708,1655,10409,167,4083,144406,8862
6907,27141-2019,90352,3091,574,1259,39,2109,94691,2733
6908,27141-2020,89858,3467,589,1393,49,2123,94692,2787
6909,27141-2021,90582,3998,612,1549,49,2284,96025,3049
6912,27143-2019,14356,128,69,107,8,200,13481,1387
6913,27143-2020,14244,158,72,115,7,206,13435,1367
6914,27143-2021,14318,157,82,125,7,228,13564,1353
6917,27145-2019,140324,13048,679,3731,212,3082,155326,5750
6918,27145-2020,137006,13547,705,3705,216,3170,152383,5966
6919,27145-2021,136694,14270,751,3733,234,3265,152732,6215
6922,27147-2019,34214,1326,185,392,18,552,33727,2960
6923,27147-2020,34801,1376,191,386,18,580,34262,3090
6924,27147-2021,34802,1365,203,385,24,570,34193,3156
6927,27149-2019,9079,133,168,200,5,237,9103,719
6928,27149-2020,8889,134,186,197,5,235,8892,754
6929,27149-2021,8906,138,203,193,5,255,8880,820
6932,27151-2019,8758,114,70,54,107,191,8802,492
6933,27151-2020,9281,97,60,66,99,188,9237,554
6934,27151-2021,9185,100,65,77,100,222,9155,594
6937,27153-2019,23779,170,198,127,65,386,22998,1727
6938,27153-2020,24250,195,210,126,60,409,23364,1886
6939,27153-2021,24156,267,221,132,61,400,23241,1996
6942,27155-2019,2930,26,212,17,2,73,3120,140
6943,27155-2020,3018,30,201,17,2,78,3183,163
6944,27155-2021,2945,31,219,20,2,69,3117,169
6947,27157-2019,20946,141,72,133,9,247,20880,668
6948,27157-2020,20753,144,82,149,12,277,20744,673
6949,27157-2021,20841,146,79,143,15,285,20826,683
6952,27159-2019,13058,150,115,68,1,270,13365,297
6953,27159-2020,13474,151,129,70,1,282,13816,291
6954,27159-2021,13524,163,132,69,1,288,13870,307
6957,27161-2019,17530,427,136,163,8,294,17380,1178
6958,27161-2020,17889,438,149,165,14,299,17707,1247
6959,27161-2021,17921,439,149,163,14,314,17719,1281
6962,27163-2019,223578,13335,1455,17208,192,6773,250763,11778
6963,27163-2020,226634,14228,1521,18366,201,7241,255763,12428
6964,27163-2021,228007,15193,1612,19664,211,7569,259287,12969
6967,27165-2019,10293,137,155,125,8,128,7976,2870
6968,27165-2020,10651,156,153,134,5,122,8187,3034
6969,27165-2021,10548,151,158,140,5,133,8048,3087
6972,27167-2019,5925,36,117,33,1,111,6012,211
6973,27167-2020,6181,35,123,36,0,106,6251,230
6974,27167-2021,6076,35,131,38,2,113,6147,248
6977,27169-2019,47425,937,222,1357,10,708,49120,1539
6978,27169-2020,46432,911,221,1313,7,722,48023,1583
6979,27169-2021,46360,958,232,1317,7,756,48032,1598
6982,27171-2019,130754,2542,611,1932,65,2638,134100,4442
6983,27171-2020,133335,2799,665,2074,64,2822,137083,4676
6984,27171-2021,135550,3264,721,2296,65,2949,139876,4969
6987,27173-2019,9053,85,368,56,8,166,9246,490
6988,27173-2020,8834,71,355,56,9,167,9032,460
6989,27173-2021,8748,75,355,55,6,172,8929,482
6992,28001-2019,13653,16443,160,175,8,297,27764,2972
6993,28001-2020,13050,15666,183,184,8,314,26539,2866
6994,28001-2021,12623,15421,185,183,8,322,25968,2774
6997,28003-2019,31613,4651,145,180,14,440,35833,1210
6998,28003-2020,29470,4393,173,178,15,451,33456,1224
6999,28003-2021,29089,4376,178,214,15,477,33117,1232
7002,28005-2019,7208,4910,45,20,3,100,12116,170
7003,28005-2020,7485,5021,51,25,3,113,12482,216
7004,28005-2021,7474,4974,55,20,2,112,12419,218
7007,28007-2019,9912,7954,64,70,4,169,17812,361
7008,28007-2020,9723,7790,66,83,4,162,17431,397
7009,28007-2021,9601,7807,77,87,4,166,17331,411
7012,28009-2019,5141,2962,34,14,3,124,8050,228
7013,28009-2020,4779,2708,37,16,3,118,7436,225
7014,28009-2021,4809,2673,35,16,3,110,7413,233
7017,28011-2019,10466,19642,51,314,14,227,30029,685
7018,28011-2020,10379,19862,54,315,18,221,30116,733
7019,28011-2021,10200,19491,53,308,17,239,29575,733
7022,28013-2019,10019,4094,45,26,5,176,13487,878
7023,28013-2020,9200,3775,43,26,5,191,12426,814
7024,28013-2021,9013,3729,45,27,5,199,12203,815
7027,28015-2019,6503,3263,24,25,2,111,9763,165
7028,28015-2020,6473,3294,26,24,2,122,9780,161
7029,28015-2021,6404,3299,24,27,2,123,9711,168
7032,28017-2019,8985,7609,71,88,9,264,16202,824
7033,28017-2020,8964,7661,74,84,9,275,16201,866
7034,28017-2021,8949,7609,74,81,9,289,16109,902
7037,28019-2019,5600,2412,31,33,3,113,8060,132
7038,28019-2020,5596,2426,21,37,3,119,8058,144
7039,28019-2021,5547,2371,21,41,3,123,7959,147
7042,28021-2019,1032,7793,20,62,4,87,8870,128
7043,28021-2020,1044,7873,20,66,4,86,8946,147
7044,28021-2021,1020,7699,23,70,4,92,8751,157
7047,28023-2019,9898,5380,70,33,1,124,15327,179
7048,28023-2020,9961,5343,75,31,1,122,15338,195
7049,28023-2021,9910,5286,73,35,1,116,15219,202
7052,28025-2019,7599,11483,46,68,3,150,19046,303
7053,28025-2020,7298,11039,60,83,3,162,18322,323
7054,28025-2021,7175,11042,60,89,4,165,18203,332
7057,28027-2019,4608,17173,43,104,11,156,21726,369
7058,28027-2020,4393,16517,46,98,13,165,20844,388
7059,28027-2021,4308,16175,48,103,12,164,20419,391
7062,28029-2019,12961,14628,81,112,9,308,27146,953
7063,28029-2020,13035,14725,79,115,10,329,27281,1012
7064,28029-2021,12947,14483,79,123,10,353,26963,1032
7067,28031-2019,11480,6732,38,82,11,219,18123,439
7068,28031-2020,11277,6638,44,96,10,248,17852,461
7069,28031-2021,11224,6673,44,90,10,238,17797,482
7072,28033-2019,122875,55936,587,2966,155,2866,175915,9470
7073,28033-2020,120721,58286,605,3030,204,3056,176308,9594
7074,28033-2021,119836,61580,610,3224,201,3182,178701,9932
7077,28035-2019,44488,28324,260,825,58,1080,72744,2291
7078,28035-2020,46373,29431,265,841,52,1174,75627,2509
7079,28035-2021,46337,29163,284,806,56,1229,75286,2589
7082,28037-2019,4888,2666,24,9,2,105,7604,90
7083,28037-2020,4830,2683,26,11,2,101,7563,90
7084,28037-2021,4890,2658,22,10,2,94,7578,98
7087,28039-2019,21916,1905,128,172,1,313,23714,721
7088,28039-2020,21806,1894,128,171,1,335,23598,737
7089,28039-2021,22068,1988,136,180,2,388,24004,758
7092,28041-2019,9936,3446,51,24,1,111,13401,168
7093,28041-2020,9869,3424,47,24,1,136,13320,181
7094,28041-2021,9955,3467,51,28,1,128,13440,190
7097,28043-2019,11441,8897,61,98,5,230,20408,324
7098,28043-2020,11830,9326,77,113,5,230,21225,356
7099,28043-2021,11618,9322,73,108,5,239,21012,353
7102,28045-2019,41844,3975,325,436,31,1062,45850,1823
7103,28045-2020,40220,3968,328,447,31,1081,44319,1756
7104,28045-2021,40145,4000,336,458,32,1084,44241,1814
7107,28047-2019,140728,54150,962,5970,272,5777,196414,11445
7108,28047-2020,140566,54820,986,5940,277,6024,196984,11629
7109,28047-2021,140894,55138,997,6063,263,6041,197463,11933
7112,28049-2019,58011,169745,234,1745,69,2115,228450,3469
7113,28049-2020,56157,166400,222,1645,45,2167,223161,3475
7114,28049-2021,55056,163654,211,1591,45,2122,219173,3506
7117,28051-2019,2653,14184,27,42,1,129,16840,196
7118,28051-2020,2586,14133,27,41,1,124,16712,200
7119,28051-2021,2585,13700,30,44,1,136,16264,232
7122,28053-2019,1781,6123,17,35,5,95,7757,299
7123,28053-2020,1711,5857,17,37,5,88,7419,296
7124,28053-2021,1680,5727,16,37,5,86,7259,292
7127,28055-2019,467,840,5,6,1,5,1303,21
7128,28055-2020,480,826,5,6,1,8,1303,23
7129,28055-2021,488,772,5,6,1,8,1254,26
7132,28057-2019,21281,1602,76,117,3,272,22945,406
7133,28057-2020,21674,1668,84,117,4,277,23401,423
7134,28057-2021,21681,1666,82,108,4,297,23397,441
7137,28059-2019,104934,31216,687,3289,138,3123,133539,9848
7138,28059-2020,104886,31116,700,3306,156,3127,133272,10019
7139,28059-2021,105352,31156,740,3328,158,3253,133596,10391
7142,28061-2019,7437,8709,52,23,9,138,16135,233
7143,28061-2020,7382,8723,60,26,12,145,16099,249
7144,28061-2021,7335,8698,72,27,12,147,16015,276
7147,28063-2019,954,5983,19,12,2,52,6960,62
7148,28063-2020,969,6195,18,13,2,57,7190,64
7149,28063-2021,995,6114,18,14,2,62,7140,65
7152,28065-2019,4306,6606,33,36,5,103,10878,211
7153,28065-2020,4357,6717,34,34,10,106,11040,218
7154,28065-2021,4308,6635,34,32,10,115,10910,224
7157,28067-2019,46447,20365,446,334,31,659,65139,3143
7158,28067-2020,45701,19947,465,335,34,660,63968,3174
7159,28067-2021,45420,19768,484,353,33,686,63549,3195
7162,28069-2019,3340,6002,335,19,0,84,9687,93
7163,28069-2020,3030,5488,358,21,0,86,8879,104
7164,28069-2021,2990,5377,349,21,2,90,8727,102
7167,28071-2019,39215,12887,182,1238,45,672,52852,1387
7168,28071-2020,40401,13250,180,1294,51,729,54403,1502
7169,28071-2021,40921,13652,188,1287,54,782,55358,1526
7172,28073-2019,48017,13352,205,952,51,870,61578,1869
7173,28073-2020,48311,13933,219,933,59,913,62368,2000
7174,28073-2021,48716,14499,227,933,64,914,63294,2059
7177,28075-2019,39931,32969,245,596,38,840,72890,1729
7178,28075-2020,38518,32412,271,603,42,860,70964,1742
7179,28075-2021,37867,32399,271,620,46,885,70315,1773
7182,28077-2019,8286,4113,35,55,2,116,12327,280
7183,28077-2020,7871,3894,34,58,2,125,11711,273
7184,28077-2021,7724,3851,37,59,2,139,11543,269
7187,28079-2019,11243,9679,1532,116,7,253,21726,1104
7188,28079-2020,10355,9073,1437,118,8,256,20213,1034
7189,28079-2021,10316,9054,1412,129,7,278,20116,1080
7192,28081-2019,57089,26269,289,842,23,1162,83238,2436
7193,28081-2020,55172,25733,312,818,25,1168,80706,2522
7194,28081-2021,54641,25857,328,834,28,1195,80251,2632
7197,28083-2019,6468,21211,134,168,3,218,27428,774
7198,28083-2020,6447,21253,136,163,4,193,27356,840
7199,28083-2021,6307,20741,137,171,4,197,26703,854
7202,28085-2019,23175,10314,76,158,16,372,33650,461
7203,28085-2020,23659,10515,84,162,19,376,34330,485
7204,28085-2021,23823,10468,86,168,18,380,34463,480
7207,28087-2019,30923,26276,163,573,36,650,57383,1238
7208,28087-2020,30805,26478,171,555,31,686,57447,1279
7209,28087-2021,30203,26491,181,561,32,682,56904,1246
7212,28089-2019,61156,40677,361,3010,89,1041,103087,3247
7213,28089-2020,62813,41819,345,3100,87,1058,105805,3417
7214,28089-2021,62877,42251,356,3106,87,1136,106323,3490
7217,28091-2019,16275,7754,64,95,10,306,24083,421
7218,28091-2020,16214,7701,66,95,10,313,23980,419
7219,28091-2021,16167,7715,65,97,13,321,23948,430
7222,28093-2019,17969,16675,156,100,22,380,33901,1401
7223,28093-2020,17257,15829,168,102,22,376,32336,1418
7224,28093-2021,17502,15516,172,111,25,399,32199,1526
7227,28095-2019,24007,10748,87,106,5,338,34825,466
7228,28095-2020,23133,10416,92,112,7,333,33587,506
7229,28095-2021,22990,10329,97,117,8,342,33376,507
7232,28097-2019,5169,4410,35,66,2,84,9624,142
7233,28097-2020,5236,4371,34,60,2,90,9633,160
7234,28097-2021,5198,4340,37,65,2,87,9571,158
7237,28099-2019,17157,6237,5064,133,15,541,28451,696
7238,28099-2020,17003,6191,5097,138,14,549,28325,667
7239,28099-2021,17006,6218,5050,142,14,563,28343,650
7242,28101-2019,12933,6567,1150,103,8,226,20573,414
7243,28101-2020,13070,6668,1151,105,8,241,20795,448
7244,28101-2021,12923,6603,1182,104,7,237,20581,475
7247,28103-2019,2786,7494,37,27,4,77,10267,158
7248,28103-2020,2684,7409,33,23,4,78,10091,140
7249,28103-2021,2643,7342,33,25,2,78,9974,149
7252,28105-2019,28417,18663,139,1635,41,648,48680,863
7253,28105-2020,29733,19570,143,1585,41,638,50765,945
7254,28105-2021,29790,19647,146,1580,48,631,50868,974
7257,28107-2019,16393,17140,117,72,3,377,33433,669
7258,28107-2020,15883,16657,107,70,3,394,32467,647
7259,28107-2021,15721,16541,104,71,3,411,32209,642
7262,28109-2019,47147,6810,413,247,48,1087,53884,1868
7263,28109-2020,47424,6895,416,247,49,1109,54219,1921
7264,28109-2021,47754,6872,420,250,58,1149,54499,2004
7267,28111-2019,9453,2301,62,25,10,147,11807,191
7268,28111-2020,9054,2185,60,20,8,143,11282,188
7269,28111-2021,9125,2202,58,20,9,157,11354,217
7272,28113-2019,17148,21335,156,268,17,360,38660,624
7273,28113-2020,17430,21970,167,273,17,352,39557,652
7274,28113-2021,17158,21998,172,256,19,370,39314,659
7277,28115-2019,26383,5064,171,129,19,514,29933,2347
7278,28115-2020,25503,4870,172,137,17,507,28906,2300
7279,28115-2021,25580,5019,169,129,16,532,29101,2344
7282,28117-2019,21010,3585,72,69,4,334,24693,381
7283,28117-2020,20836,3619,69,77,7,327,24569,366
7284,28117-2021,20870,3651,65,86,2,322,24637,359
7287,28119-2019,1798,4887,22,15,3,83,6687,121
7288,28119-2020,1579,4453,23,14,3,81,6050,103
7289,28119-2021,1509,4305,23,16,3,79,5828,107
7292,28121-2019,117421,33407,355,2119,133,1907,151112,4230
7293,28121-2020,118295,34191,342,2144,146,1934,152735,4317
7294,28121-2021,117846,35575,336,2203,133,2003,153768,4328
7297,28123-2019,16380,10954,210,158,105,396,24943,3260
7298,28123-2020,16280,10798,208,160,104,408,24676,3282
7299,28123-2021,15982,10714,219,165,103,415,24262,3336
7302,28125-2019,1174,3067,9,31,0,31,4213,99
7303,28125-2020,1008,2688,8,33,0,30,3678,89
7304,28125-2021,985,2602,9,35,0,32,3577,86
7307,28127-2019,16793,9430,97,150,40,293,26308,495
7308,28127-2020,16119,9191,92,151,40,300,25411,482
7309,28127-2021,16016,9141,94,149,41,309,25279,471
7312,28129-2019,11918,3763,32,24,2,101,15552,288
7313,28129-2020,10681,3354,31,25,3,110,13939,265
7314,28129-2021,10620,3378,35,28,6,124,13930,261
7317,28131-2019,14324,3493,103,87,12,270,17892,397
7318,28131-2020,14372,3498,101,79,13,270,17925,408
7319,28131-2021,14593,3540,104,98,13,296,18203,441
7322,28133-2019,6203,18569,86,106,11,156,24638,493
7323,28133-2020,6344,19124,87,108,10,153,25339,487
7324,28133-2021,6293,18749,88,109,11,152,24888,514
7327,28135-2019,5626,7925,58,142,14,166,12957,974
7328,28135-2020,5158,7133,58,138,14,169,11751,919
7329,28135-2021,5077,6916,59,133,14,167,11446,920
7332,28137-2019,18968,8781,83,93,11,368,27519,785
7333,28137-2020,18809,8732,83,92,11,397,27336,788
7334,28137-2021,18968,8683,90,89,11,393,27403,831
7337,28139-2019,17826,3683,95,62,7,348,20965,1056
7338,28139-2020,17580,3646,98,61,6,341,20698,1034
7339,28139-2021,17476,3636,103,60,6,354,20600,1035
7342,28141-2019,18559,492,81,41,5,190,18713,655
7343,28141-2020,17992,508,79,44,4,195,18173,649
7344,28141-2021,17895,512,85,41,6,211,18067,683
7347,28143-2019,1886,7498,32,76,10,100,9356,246
7348,28143-2020,1948,7568,31,73,10,90,9470,250
7349,28143-2021,2005,7480,29,70,9,103,9425,271
7352,28145-2019,23374,4445,82,286,17,507,27429,1282
7353,28145-2020,22490,4361,78,296,16,539,26527,1253
7354,28145-2021,22615,4394,93,303,15,533,26640,1313
7357,28147-2019,7758,6206,65,68,15,204,14002,314
7358,28147-2020,7505,5990,64,73,14,217,13533,330
7359,28147-2021,7497,5946,77,74,14,228,13490,346
7362,28149-2019,22035,22418,157,378,12,477,44496,981
7363,28149-2020,21580,21997,157,355,12,447,43601,947
7364,28149-2021,21143,21479,155,360,12,430,42631,948
7367,28151-2019,11275,31892,118,361,23,304,43198,775
7368,28151-2020,11410,32419,111,339,20,314,43826,787
7369,28151-2021,11128,31775,114,336,20,314,42857,830
7372,28153-2019,11818,8040,56,50,7,215,19863,323
7373,28153-2020,11479,7978,60,49,5,207,19450,328
7374,28153-2021,11450,7927,59,50,5,218,19379,330
7377,28155-2019,7732,1811,31,17,2,109,9559,143
7378,28155-2020,7927,1827,35,17,1,114,9771,150
7379,28155-2021,7958,1852,38,17,1,117,9804,179
7382,28157-2019,2426,6099,22,10,2,69,8537,91
7383,28157-2020,2405,6020,22,10,0,68,8438,87
7384,28157-2021,2366,5839,24,14,0,72,8216,99
7387,28159-2019,9125,8415,222,59,7,165,17748,245
7388,28159-2020,8958,8261,210,55,8,181,17414,259
7389,28159-2021,8908,8220,219,61,7,181,17322,274
7392,28161-2019,7170,4710,47,28,1,148,11895,209
7393,28161-2020,7372,4849,43,32,1,149,12229,217
7394,28161-2021,7370,4791,41,32,1,180,12180,235
7397,28163-2019,11986,16999,202,179,14,318,27143,2555
7398,28163-2020,10649,15372,142,150,14,291,24659,1959
7399,28163-2021,10543,15222,140,151,14,303,24424,1949
7402,29001-2019,23276,934,102,665,18,516,24848,663
7403,29001-2020,22954,939,108,696,19,530,24567,679
7404,29001-2021,22833,976,115,704,18,539,24475,710
7407,29003-2019,17038,210,54,113,7,277,17238,461
7408,29003-2020,17386,207,62,124,9,295,17594,489
7409,29003-2021,17241,237,69,121,10,324,17500,502
7412,29005-2019,4984,26,17,18,3,61,5028,81
7413,29005-2020,5172,26,18,19,3,68,5212,94
7414,29005-2021,5081,30,18,23,3,79,5141,93
7417,29007-2019,22498,1596,155,141,29,543,24141,821
7418,29007-2020,22425,1572,178,152,30,568,24074,851
7419,29007-2021,22427,1585,184,148,30,608,24121,861
7422,29009-2019,33537,247,458,790,62,695,32326,3463
7423,29009-2020,32177,261,471,849,76,705,31137,3402
7424,29009-2021,32278,254,468,881,85,746,31220,3492
7427,29011-2019,11054,72,169,69,7,310,11345,336
7428,29011-2020,10963,71,176,74,7,322,11259,354
7429,29011-2021,10975,78,185,78,7,335,11261,397
7432,29013-2019,15481,200,152,48,9,323,15819,394
7433,29013-2020,15276,213,159,56,10,330,15616,428
7434,29013-2021,15274,211,170,65,11,374,15662,443
7437,29015-2019,18767,110,141,79,14,366,19068,409
7438,29015-2020,18602,139,165,97,17,389,18978,431
7439,29015-2021,19067,154,170,101,17,399,19440,468
7442,29017-2019,11782,67,94,27,3,169,11956,186
7443,29017-2020,10148,79,98,29,3,168,10351,174
7444,29017-2021,10167,80,95,27,3,184,10373,183
7447,29019-2019,147079,17906,804,9148,167,5980,174679,6405
7448,29019-2020,149369,18116,837,9129,191,6252,177230,6664
7449,29019-2021,150529,18521,869,9246,202,6473,178926,6914
7452,29021-2019,77088,5239,628,1398,427,2432,81410,5802
7453,29021-2020,74702,4970,646,1408,437,2452,78818,5797
7454,29021-2021,73837,4982,667,1402,446,2519,77876,5977
7457,29023-2019,38311,2431,312,379,15,1126,41630,944
7458,29023-2020,37633,2458,317,426,16,1157,41026,981
7459,29023-2021,37652,2506,342,417,16,1168,41031,1070
7462,29025-2019,8673,63,78,28,4,193,8805,234
7463,29025-2020,8416,68,79,35,12,196,8552,254
7464,29025-2021,8475,73,82,42,12,213,8653,244
7467,29027-2019,41069,2080,247,353,28,985,43782,980
7468,29027-2020,40502,2106,269,363,28,1020,43298,990
7469,29027-2021,40758,2162,271,374,27,1046,43613,1025
7472,29029-2019,44572,307,313,299,25,695,44897,1314
7473,29029-2020,41130,314,314,296,29,701,41470,1314
7474,29029-2021,41700,349,333,320,30,704,42034,1402
7477,29031-2019,69015,6222,310,1489,36,1899,77003,1968
7478,29031-2020,71544,6368,313,1543,39,1981,79696,2092
7479,29031-2021,71716,6425,340,1545,38,2049,79944,2169
7482,29033-2019,8355,158,28,17,11,129,8553,145
7483,29033-2020,8122,168,24,16,10,121,8312,149
7484,29033-2021,8032,166,24,16,10,128,8210,166
7487,29035-2019,5746,32,65,10,1,127,5812,169
7488,29035-2020,4968,36,69,10,1,123,5063,144
7489,29035-2021,5067,37,70,10,1,135,5169,151
7492,29037-2019,96330,4822,789,914,124,2752,100782,4949
7493,29037-2020,98190,5193,813,920,132,2865,102888,5225
7494,29037-2021,99134,5619,827,972,140,2946,104148,5490
7497,29039-2019,13768,62,127,62,7,275,13959,342
7498,29039-2020,13635,71,136,68,9,280,13863,336
7499,29039-2021,13911,75,150,70,9,281,14132,364
7502,29041-2019,7134,176,30,21,0,102,7397,66
7503,29041-2020,7029,190,32,18,0,111,7308,72
7504,29041-2021,7011,188,34,18,0,105,7274,82
7507,29043-2019,84891,763,783,611,47,1818,86031,2882
7508,29043-2020,84958,820,831,637,49,1929,86194,3030
7509,29043-2021,86897,919,856,711,57,2059,88282,3217
7512,29045-2019,6645,28,17,28,1,85,6743,61
7513,29045-2020,6465,34,17,28,1,87,6578,54
7514,29045-2021,6539,34,18,29,1,115,6675,61
7517,29047-2019,215844,18368,1581,6285,915,7529,232705,17817
7518,29047-2020,218092,19032,1630,6406,1001,7762,235433,18490
7519,29047-2021,218645,19589,1647,6548,1034,8055,236472,19046
7522,29049-2019,19470,286,159,103,11,405,19958,476
7523,29049-2020,20207,285,174,107,15,416,20677,527
7524,29049-2021,20259,293,183,108,19,425,20750,537
7527,29051-2019,64176,9447,336,1106,65,1644,74566,2208
7528,29051-2020,64761,9188,328,1075,69,1777,74901,2297
7529,29051-2021,64657,9195,356,1110,79,1808,74764,2441
7532,29053-2019,15735,1177,104,114,14,419,17218,345
7533,29053-2020,15345,1056,112,118,14,444,16728,361
7534,29053-2021,15393,1051,107,115,14,435,16748,367
7537,29055-2019,23105,122,159,73,24,373,23347,509
7538,29055-2020,22238,146,162,72,23,385,22517,509
7539,29055-2021,22003,138,162,82,24,398,22264,543
7542,29057-2019,7180,42,75,39,3,208,7375,172
7543,29057-2020,7205,44,80,37,3,217,7408,178
7544,29057-2021,7213,46,83,33,3,221,7407,192
