,PCIncome,fip-year
7358,23293.0,20057-2019
7359,26998.0,20059-2019
7360,23897.0,20061-2019
7361,28859.0,20063-2019
7362,27236.0,20065-2019
7363,25411.0,20067-2019
7364,29421.0,20069-2019
7365,28982.0,20071-2019
7366,27500.0,20073-2019
7367,22003.0,20075-2019
7368,24800.0,20077-2019
7369,28226.0,20079-2019
7370,26814.0,20081-2019
7371,30044.0,20083-2019
7372,28127.0,20085-2019
7373,30655.0,20087-2019
7374,27731.0,20089-2019
7375,46517.0,20091-2019
7376,23415.0,20093-2019
7377,34578.0,20095-2019
7378,26321.0,20097-2019
7379,24572.0,20099-2019
7380,28435.0,20101-2019
7381,32444.0,20103-2019
7382,25803.0,20105-2019
7383,27926.0,20107-2019
7384,28135.0,20109-2019
7385,26904.0,20111-2019
7386,31006.0,20113-2019
7387,26577.0,20115-2019
7388,28469.0,20117-2019
7389,28945.0,20119-2019
7390,35659.0,20121-2019
7391,25801.0,20123-2019
7392,24647.0,20125-2019
7393,29558.0,20127-2019
7394,23447.0,20129-2019
7395,30344.0,20131-2019
7396,23845.0,20133-2019
7397,34243.0,20135-2019
7398,25352.0,20137-2019
7399,27951.0,20139-2019
7400,30843.0,20141-2019
7401,29230.0,20143-2019
7402,25131.0,20145-2019
7403,27431.0,20147-2019
7404,29345.0,20149-2019
7405,27442.0,20151-2019
7406,28590.0,20153-2019
7407,27073.0,20155-2019
7408,27424.0,20157-2019
7409,26737.0,20159-2019
7410,27272.0,20161-2019
7411,26420.0,20163-2019
7412,26552.0,20165-2019
7413,26090.0,20167-2019
7414,28813.0,20169-2019
7415,29315.0,20171-2019
7416,29530.0,20173-2019
7417,20754.0,20175-2019
7418,30974.0,20177-2019
7419,35465.0,20179-2019
7420,27919.0,20181-2019
7421,28994.0,20183-2019
7422,28060.0,20185-2019
7423,23033.0,20187-2019
7424,24652.0,20189-2019
7425,26954.0,20191-2019
7426,30442.0,20193-2019
7427,34230.0,20195-2019
7428,27876.0,20197-2019
7429,27966.0,20199-2019
7430,27841.0,20201-2019
7431,29126.0,20203-2019
7432,27471.0,20205-2019
7433,22672.0,20207-2019
7434,22335.0,20209-2019
7435,21196.0,21001-2019
7436,22294.0,21003-2019
7437,27250.0,21005-2019
