,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
79,18587,1053-2020,1053,36665,1.021892577,18531,18134,40.2,2211,4174,13622,9470,6704,6,22763,11537,1403,110,27,825,35702,963
80,19581,1053-2021,1053,36699,1.020981332,18540,18159,40.2,2176,4206,13671,9393,6753,6,22755,11585,1363,117,28,851,35727,972
81,24883,1055-2019,1055,102460,0.937484636,49577,52883,42,5966,10792,36906,27694,19864,3,82579,16174,676,892,326,1813,98132,4328
82,25094,1055-2020,1055,103393,0.950774514,50392,53001,41.8,5961,11180,37138,28045,19770,3,83137,16405,741,893,336,1881,98871,4522
83,26026,1055-2021,1055,103162,0.949874308,50255,52907,41.8,5951,11145,37130,27653,19957,3,82973,16293,738,903,351,1904,98383,4779
84,22483,1057-2019,1057,16279,0.952386663,7941,8338,43.8,900,1746,5495,4403,3531,6,13937,1918,81,81,1,261,15950,329
85,23389,1057-2020,1057,16307,0.967306068,8018,8289,43.6,894,1763,5531,4411,3500,6,13975,1914,78,83,0,257,15969,338
86,24268,1057-2021,1057,16148,0.964954977,7930,8218,43.6,874,1743,5507,4302,3520,6,13873,1838,82,85,0,270,15810,338
87,21641,1059-2019,1059,31587,1.005141878,15834,15753,38.8,2194,3891,11592,8065,5400,6,28951,1395,520,119,69,533,25867,5720
88,21503,1059-2020,1059,32063,1.015400088,16154,15909,38.8,2225,3978,11756,8234,5405,6,29358,1411,544,121,83,546,26127,5936
89,22500,1059-2021,1059,32013,1.005952754,16054,15959,39,2193,3976,11681,8257,5458,6,29213,1444,576,122,77,581,25927,6086
90,21711,1061-2019,1061,26309,0.950114891,12818,13491,43.5,1437,2927,8894,7246,5446,3,22895,2449,298,96,20,551,25217,1092
91,22415,1061-2020,1061,26675,0.962840324,13085,13590,43.5,1468,2952,9027,7351,5514,3,23172,2489,299,110,21,584,25504,1171
92,23338,1061-2021,1061,26701,0.964898079,13112,13589,43.5,1436,2927,9053,7260,5637,3,23165,2490,317,106,19,604,25456,1245
93,14884,1063-2019,1063,8104,0.879406308,3792,4312,44.1,456,894,2683,2079,1896,8,1472,6502,35,21,0,74,7968,136
94,16425,1063-2020,1063,7704,0.882697947,3612,4092,44.1,434,867,2519,1953,1829,8,1416,6150,37,22,0,79,7568,136
95,16282,1063-2021,1063,7629,0.869852941,3549,4080,44.6,438,826,2473,1899,1887,8,1405,6084,37,27,0,76,7482,147
96,21191,1065-2019,1065,14669,0.900868213,6952,7717,40.9,979,1661,5136,3791,2907,3,5943,8534,37,46,5,104,14460,209
97,20652,1065-2020,1065,14792,0.903487325,7021,7771,40.8,956,1755,5170,3787,2927,3,6002,8574,45,46,5,120,14575,217
98,20849,1065-2021,1065,14754,0.905955303,7013,7741,40.7,956,1766,5172,3693,2970,3,6023,8515,49,50,6,111,14524,230
99,25276,1067-2019,1067,17125,0.934591053,8273,8852,45.2,879,1731,5698,4619,3977,3,12217,4455,77,84,3,289,16661,464
100,26011,1067-2020,1067,17167,0.938022127,8309,8858,44.9,857,1800,5734,4610,3952,3,12346,4381,84,84,3,269,16697,470
101,28304,1067-2021,1067,17459,0.930878124,8417,9042,44.8,884,1797,5856,4648,4036,3,12596,4384,92,93,3,291,16983,476
102,27097,1069-2019,1069,106240,0.916271352,50799,55441,40,6702,12074,39354,27435,19343,3,72970,29133,578,1182,102,2275,102603,3637
103,27794,1069-2020,1069,107190,0.928120447,51597,55593,40.2,6624,12327,39416,27861,19508,3,73245,29717,585,1210,105,2328,103430,3760
104,29388,1069-2021,1069,107458,0.925632571,51654,55804,40.3,6553,12196,39627,27644,19938,3,73283,29792,610,1248,107,2418,103541,3917
105,22596,1071-2019,1071,51672,0.964565432,25370,26302,43.9,2790,5258,17844,14476,10643,6,47247,1771,837,302,62,1453,50088,1584
106,23844,1071-2020,1071,52519,0.975438201,25933,26586,44,2838,5424,18007,14774,10831,6,48022,1807,847,293,67,1483,50836,1683
107,25153,1071-2021,1071,52773,0.974963512,26052,26721,44,2797,5426,18166,14631,11061,6,48162,1851,848,327,73,1512,51029,1744
108,32098,1073-2019,1073,658539,0.895239877,311069,347470,37.9,42314,75309,261683,164039,107040,1,349169,286530,1829,11886,342,8783,632098,26441
109,33343,1073-2020,1073,673341,0.904578857,319803,353538,38,42237,78563,267533,166775,109496,1,355627,294003,1911,12301,352,9147,645464,27877
110,34860,1073-2021,1073,667820,0.903700389,317019,350801,38.1,41129,77393,265973,162955,111386,1,351604,292432,1923,12319,339,9203,639290,28530
111,22636,1075-2019,1075,13817,0.964316179,6783,7034,44.5,800,1456,4560,3753,3072,8,12088,1436,44,15,2,232,13555,262
112,22299,1075-2020,1075,13943,0.975488807,6885,7058,44.4,807,1501,4584,3801,3065,8,12209,1435,49,14,2,234,13668,275
113,22678,1075-2021,1075,13689,0.978465096,6770,6919,44.7,741,1454,4503,3725,3074,8,11971,1412,58,16,2,230,13402,287
114,28033,1077-2019,1077,93028,0.920677196,44593,48435,41.4,4758,9084,35040,24128,18949,3,80756,9332,416,820,63,1641,90371,2657
115,28540,1077-2020,1077,93610,0.932094943,45160,48450,41.3,4784,9320,35210,24165,19018,3,81212,9398,426,840,71,1663,90807,2803
116,29667,1077-2021,1077,94043,0.933966726,45416,48627,41,4766,9313,35694,23816,19305,3,81554,9350,459,866,70,1744,91129,2914
117,23450,1079-2019,1079,32851,0.947764734,15985,16866,43,1818,3611,11269,9442,6282,3,25763,3554,1889,78,6,1561,32083,768
