,fips,RUCC_2013
1368,27109,3.0
1369,27111,6.0
1370,27113,6.0
1371,27115,6.0
1372,27117,6.0
1373,27119,3.0
1374,27121,8.0
1375,27123,1.0
1376,27125,8.0
1377,27127,7.0
1378,27129,8.0
1379,27131,4.0
1380,27133,6.0
1381,27135,7.0
1382,27137,2.0
1383,27139,1.0
1384,27141,1.0
1385,27143,1.0
1386,27145,3.0
1387,27147,5.0
1388,27149,7.0
1389,27151,7.0
1390,27153,6.0
1391,27155,9.0
1392,27157,3.0
1393,27159,7.0
1394,27161,6.0
1395,27163,1.0
1396,27165,6.0
1397,27167,6.0
1398,27169,4.0
1399,27171,1.0
1400,27173,9.0
1401,28001,5.0
1402,28003,7.0
1403,28005,8.0
1404,28007,6.0
1405,28009,1.0
1406,28011,7.0
1407,28013,9.0
1408,28015,9.0
1409,28017,7.0
1410,28019,9.0
1411,28021,8.0
1412,28023,9.0
1413,28025,7.0
1414,28027,7.0
1415,28029,2.0
1416,28031,8.0
1417,28033,1.0
1418,28035,3.0
1419,28037,9.0
1420,28039,6.0
1421,28041,8.0
1422,28043,7.0
1423,28045,2.0
1424,28047,2.0
1425,28049,2.0
1426,28051,6.0
1427,28053,6.0
1428,28055,8.0
1429,28057,7.0
1430,28059,2.0
1431,28061,9.0
1432,28063,8.0
1433,28065,8.0
1434,28067,4.0
1435,28069,9.0
1436,28071,4.0
1437,28073,3.0
1438,28075,5.0
1439,28077,8.0
1440,28079,6.0
1441,28081,5.0
1442,28083,5.0
1443,28085,6.0
1444,28087,5.0
1445,28089,2.0
1446,28091,6.0
1447,28093,1.0
1448,28095,7.0
1449,28097,7.0
1450,28099,7.0
1451,28101,7.0
1452,28103,7.0
1453,28105,5.0
1454,28107,6.0
1455,28109,6.0
1456,28111,3.0
1457,28113,6.0
1458,28115,7.0
1459,28117,7.0
1460,28119,6.0
1461,28121,2.0
1462,28123,6.0
1463,28125,8.0
1464,28127,2.0
1465,28129,8.0
1466,28131,6.0
1467,28133,7.0
1468,28135,7.0
1469,28137,1.0
1470,28139,6.0
1471,28141,8.0
1472,28143,1.0
1473,28145,6.0
1474,28147,9.0
1475,28149,4.0
1476,28151,5.0
1477,28153,7.0
1478,28155,9.0
1479,28157,8.0
1480,28159,7.0
1481,28161,7.0
1482,28163,2.0
1483,29001,7.0
1484,29003,3.0
1485,29005,9.0
1486,29007,6.0
1487,29009,6.0
1488,29011,6.0
1489,29013,1.0
1490,29015,7.0
1491,29017,3.0
1492,29019,3.0
1493,29021,3.0
1494,29023,5.0
