,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1704,12047-2021,13993,1.4071907792878031,8180,5813,40.3,746,1319,5564,3594,2609
1707,12049-2019,26806,1.1162074682245204,14139,12667,35.6,1839,3599,10394,6045,4531
1708,12049-2020,25313,1.1184199514603732,13364,11949,35.7,1668,3436,9858,5755,4201
1709,12049-2021,25425,1.132969798657718,13505,11920,36.0,1648,3365,9935,5776,4286
1712,12051-2019,42069,1.1227671813502875,22251,19818,35.0,3059,5739,16824,10007,5782
1713,12051-2020,39707,1.1226879076232226,21001,18706,35.2,2801,5476,15880,9497,5400
1714,12051-2021,40313,1.1230777333052455,21325,18988,35.5,2813,5420,16137,9726,5530
1717,12053-2019,194290,0.9320611370213104,93729,100561,48.8,8770,18110,59727,51793,53644
1718,12053-2020,195508,0.9454693812565924,95014,100494,48.5,8651,18601,60956,52427,52574
1719,12053-2021,200638,0.9455051440428978,97509,103129,48.0,8845,19124,63555,53295,53434
1722,12055-2019,105890,0.9503794297502396,51598,54292,54.3,4574,9179,28807,24169,38125
1723,12055-2020,101222,0.961172572801426,49609,51613,54.1,4233,8961,27662,23286,36050
1724,12055-2021,103296,0.9646239872189888,50718,52578,54.0,4205,9073,28505,23507,36883
1727,12057-2019,1476431,0.9588197443398542,722696,753735,37.6,89093,165174,614511,374525,215071
1728,12057-2020,1463380,0.9704044810685624,720700,742680,37.8,85982,165434,607701,373195,212353
1729,12057-2021,1478194,0.9697146154163908,727733,750461,38.0,84930,165693,614329,374682,219177
1732,12059-2019,19661,1.1315047701647876,10437,9224,42.5,1082,1956,7106,5291,3977
1733,12059-2020,19622,1.1468271334792122,10482,9140,42.4,1023,2015,7119,5317,3904
1734,12059-2021,19784,1.1577053113752862,10615,9169,42.1,1016,2051,7241,5283,3951
1737,12061-2019,159739,0.922782478905112,76662,83077,54.5,6414,12373,43244,42140,54069
1738,12061-2020,160345,0.9350848398542154,77483,82862,54.7,6343,12366,43370,42518,54213
1739,12061-2021,163662,0.9354541154210028,79102,84560,55.0,6306,12410,44434,42842,56134
1742,12063-2019,46257,1.1725061055795605,24965,21292,42.3,2410,4239,17563,12095,9427
1743,12063-2020,47214,1.192227329711659,25677,21537,42.2,2404,4431,17988,12326,9539
1744,12063-2021,47694,1.196665438467207,25982,21712,41.9,2463,4432,18325,12316,9628
1747,12065-2019,14280,1.1071270473660912,7503,6777,48.3,599,1226,4537,4319,3455
1748,12065-2020,14560,1.1153566758680808,7677,6883,47.8,615,1310,4685,4334,3468
1749,12065-2021,14555,1.1152448771980816,7674,6881,48.2,599,1274,4690,4285,3562
1752,12067-2019,8384,1.2727026294388724,4695,3689,39.6,329,876,3516,2099,1428
